side,step,valid_window_index,physical_window_index,letter_index,letter,cost
1,0,0,8,0,ا,4.259140968322754
1,1,1,9,1,ذ,4.280323505401611
1,2,2,10,1,ذ,2.732473134994507
1,3,3,11,2,ا,1.7687381505966187
1,4,4,12,3,س,4.532304286956787
1,5,5,13,4,ل,1.0940173864364624
1,6,6,14,5,م,2.956118106842041
1,7,6,14,6,ت,2.4156248569488525
1,8,6,14,7,م,2.9505627155303955
1,9,6,14,8,م,2.953098773956299
1,10,6,14,9,ا,4.879604816436768
1,11,6,14,10,ا,4.882382392883301
1,12,7,15,11,ت,2.0308070182800293
1,13,8,16,12,ي,1.9026899337768555
1,14,9,17,13,ت,4.595117092132568
1,15,10,18,14,م,2.0059123039245605
1,16,11,19,15,ب,3.9404592514038086
1,17,12,20,16,ا,2.165451765060425
1,18,13,21,17,ل,3.592900276184082
1,19,14,22,18,م,3.267642021179199
1,20,15,23,19,ع,3.951246738433838
1,21,15,23,20,ر,3.0133635997772217
1,22,16,24,21,و,1.895033836364746
1,23,16,24,22,ف,4.283143520355225
1,24,16,24,23,و,1.9005893468856812
1,25,17,25,24,ا,0.7550538778305054
1,26,18,26,25,ت,4.319684028625488
1,27,18,26,26,ق,4.8520965576171875
1,28,18,26,27,و,2.874799966812134
1,29,18,26,28,ا,1.3155946731567383
1,30,18,26,29,ا,1.3183724880218506
1,31,19,27,30,ل,0.9750985503196716
1,32,20,28,30,ل,3.8945555686950684
1,33,21,29,31,ل,0.864967942237854
1,34,22,30,32,ه,1.8886054754257202
1,35,23,31,33,و,3.179935932159424
1,36,24,32,33,و,3.158109664916992
1,37,25,33,34,ا,2.516169548034668
1,38,26,34,35,ع,2.598022699356079
1,39,27,35,36,ل,3.63850736618042
1,40,28,36,37,م,4.937265396118164
1,41,29,37,38,و,4.342975616455078
1,42,30,38,39,ا,3.575092077255249
1,43,31,39,40,ا,4.79374885559082
1,44,32,40,41,ن,4.904246807098389
1,45,33,41,42,ا,2.2335379123687744
1,46,34,42,43,ل,2.6758484840393066
1,47,35,43,44,ل,3.6179049015045166
1,48,36,44,45,ه,2.3674912452697754
1,49,37,45,46,ب,4.088992595672607
1,50,38,46,46,ب,4.450558185577393
1,51,39,47,47,م,3.1357197761535645
1,52,40,48,48,ا,4.101227760314941
1,53,41,49,49,ت,4.614060878753662
1,54,42,50,50,ع,1.9728703498840332
1,55,43,51,51,م,5.248431205749512
1,56,44,52,52,ل,3.750783920288086
1,57,45,53,53,و,4.900257110595703
1,58,46,54,54,ن,4.393218040466309
2,0,0,6,0,م,3.884158134460449
2,1,1,7,0,م,1.6656309366226196
2,2,2,8,0,م,1.796111822128296
2,3,3,9,1,ن,4.070072650909424
2,4,4,10,2,ا,4.075485706329346
2,5,5,11,3,ل,2.1041698455810547
2,6,6,12,4,ك,3.1147871017456055
2,7,7,13,5,ت,2.3569037914276123
2,8,8,14,6,ا,1.4426159858703613
2,9,9,15,7,ب,1.5243273973464966
2,10,10,16,7,ب,2.2753748893737793
2,11,11,17,8,و,1.7524811029434204
2,12,12,18,9,ا,5.431390285491943
2,13,13,19,10,ل,2.4827322959899902
2,14,14,20,11,ح,3.7509491443634033
2,15,15,21,11,ح,3.1329333782196045
2,16,16,22,12,ك,0.826770007610321
2,17,17,23,13,م,3.831282615661621
2,18,18,24,14,ة,3.2094736099243164
2,19,19,25,15,ي,2.2826154232025146
2,20,20,26,16,ع,4.009838581085205
2,21,21,27,17,ظ,3.5368309020996094
2,22,22,28,18,ك,2.575194835662842
2,23,23,29,19,م,5.196414947509766
2,24,24,30,20,ب,2.349004030227661
2,25,25,31,21,ه,1.6870043277740479
2,26,26,32,22,و,5.406501293182373
2,27,27,33,23,ا,3.366135358810425
2,28,28,34,24,ت,3.6222686767578125
2,29,29,35,25,ق,2.564236640930176
2,30,30,36,25,ق,1.5568701028823853
2,31,31,37,26,و,3.173802137374878
2,32,32,38,27,ا,4.650876522064209
2,33,33,39,28,ا,2.631049156188965
2,34,34,40,29,ل,0.16846789419651031
2,35,35,41,30,ل,2.8055484294891357
2,36,36,42,31,ه,4.7844414710998535
2,37,37,43,32,و,1.06904935836792
2,38,38,44,33,ا,4.621397018432617
2,39,39,45,34,ع,6.000575542449951
2,40,40,46,35,ل,5.085766792297363
2,41,41,47,36,م,4.927394390106201
2,42,42,48,37,و,3.0448360443115234
2,43,43,49,38,ا,2.1992316246032715
2,44,44,50,39,ا,2.9878039360046387
2,45,45,51,40,ن,2.192376136779785
2,46,46,52,41,ا,3.2370598316192627
2,47,47,53,42,ل,0.9707991480827332
2,48,48,54,42,ل,0.7800127267837524
2,49,49,55,43,ل,3.8189895153045654
2,50,50,56,44,ه,3.7507266998291016
