-0.44470325,0.10560045,-0.06756780,0.09826646,-0.44470325,0.13172400,0.13451153,-0.04544671,-0.06977801,0.27889287,0.02822490,-0.44470325,0.10560045,-0.06756780,0.09826646,-0.44470325,0.13172400,0.13451153,-0.04544671,-0.06977801,0.27889287,0.02822490,-0.06977801,-0.44470325,0.10560045,0.38559297,0.10560045,0.61867809,0.01426142,0.13338090,-0.44470325,0.03042342,-0.44470325,0.10560045,0.38559297,-0.07997929,0.10560045,0.27471161,0.38277453,-0.44470325,0.10560045,0.13060686,0.27889287,-0.25138986,-0.06977801,0.10040748,0.14175496,-0.04544671,0.61867809,0.27889287,-0.05678696,0.07290998,0.09826646
0.97749174,-0.14293657,0.13785939,-0.05365022,0.97749174,-0.03044664,0.07908321,0.00776922,0.00498168,0.00131588,-0.07384913,0.97749174,-0.14293657,0.13785939,-0.05365022,0.97749174,-0.03044664,0.07908321,0.00776922,0.00498168,0.00131588,-0.07384913,0.00498168,0.97749174,-0.14293657,-0.17838483,-0.14293657,-0.02924733,0.00761985,0.00551487,0.97749174,-0.08347012,0.97749174,-0.14293657,-0.17838483,-0.16571091,-0.14293657,-0.00786711,0.01869982,0.97749174,-0.14293657,0.10501004,0.00131588,0.11375713,0.00498168,-0.06478620,-0.14476784,0.00776922,-0.02924733,0.00131588,-0.01904075,0.10575980,-0.05365022
0.97888130,-0.13402985,0.04184819,-0.08252262,0.97888130,-0.04501054,0.05358507,0.00108963,-0.01874850,0.02434982,-0.09908937,0.97888130,-0.13402985,0.04184819,-0.08252262,0.97888130,-0.04501054,0.05358507,0.00108963,-0.01874850,0.02434982,-0.09908937,-0.01874850,0.97888130,-0.13402985,-0.24138588,-0.13402985,-0.07281281,0.00631521,-0.02878807,0.97888130,-0.07979555,0.97888130,-0.13402985,-0.24138588,-0.20356280,-0.13402985,-0.01612423,-0.01129625,0.97888130,-0.13402985,0.07364511,0.02434982,0.07511754,-0.01874850,-0.07827922,-0.14541826,0.00108963,-0.07281281,0.02434982,-0.00422479,0.07017042,-0.08252262
0.99073625,-0.12271716,0.11348358,-0.09778349,0.99073625,-0.06370895,0.04719241,-0.03481022,-0.03035524,0.01579760,-0.08076663,0.99073625,-0.12271716,0.11348358,-0.09778349,0.99073625,-0.06370895,0.04719241,-0.03481022,-0.03035524,0.01579760,-0.08076663,-0.03035524,0.99073625,-0.12271716,-0.19129378,-0.12271716,-0.05348253,0.00367231,0.00343744,0.99073625,-0.06671695,0.99073625,-0.12271716,-0.19129378,-0.15363002,-0.12271716,-0.02404061,0.03194642,0.99073625,-0.12271716,0.05882141,0.01579760,0.07006390,-0.03035524,-0.07153353,-0.15068807,-0.03481022,-0.05348253,0.01579760,-0.02363770,0.07292037,-0.09778349
-0.34450915,0.87981439,-0.24769747,0.22556649,-0.34450915,0.01637915,-0.17031460,-0.13791372,-0.09101876,-0.13576882,-0.03687270,-0.34450915,0.87981439,-0.24769747,0.22556649,-0.34450915,0.01637915,-0.17031460,-0.13791372,-0.09101876,-0.13576882,-0.03687270,-0.09101876,-0.34450915,0.87981439,-0.26240593,0.87981439,-0.12447098,-0.07112788,-0.13211818,-0.34450915,0.10466890,-0.34450915,0.87981439,-0.26240593,0.08572517,0.87981439,0.03562465,-0.18739721,-0.34450915,0.87981439,-0.26520151,-0.13576882,-0.01252437,-0.09101876,-0.11883059,0.12593482,-0.13791372,-0.12447098,-0.13576882,0.01663694,-0.15583770,0.22556649
0.73757887,-0.27732942,0.12099285,-0.02420505,0.73757887,-0.13618581,-0.19148116,0.11150154,0.11775206,-0.08642227,0.04272164,0.73757887,-0.27732942,0.12099285,-0.02420505,0.73757887,-0.13618581,-0.19148116,0.11150154,0.11775206,-0.08642227,0.04272164,0.11775206,0.73757887,-0.27732942,-0.24272092,-0.27732942,-0.04234228,0.06886882,-0.04811346,0.73757887,-0.11948880,0.73757887,-0.27732942,-0.24272092,-0.17634818,-0.27732942,-0.01676606,-0.34621602,0.73757887,-0.27732942,0.11047526,-0.08642227,0.00160514,0.11775206,-0.06838585,-0.12371892,0.11150154,-0.04234228,-0.08642227,0.01001725,0.17312677,-0.02420505
0.73474604,-0.25380078,0.04753716,-0.10510768,0.73474604,-0.02568525,0.07328174,-0.29247886,-0.29771253,-0.12503523,-0.01190057,0.73474604,-0.25380078,0.04753716,-0.10510768,0.73474604,-0.02568525,0.07328174,-0.29247886,-0.29771253,-0.12503523,-0.01190057,-0.29771253,0.73474604,-0.25380078,-0.08462027,-0.25380078,-0.01806254,0.00973398,-0.00974920,0.73474604,-0.08298860,0.73474604,-0.25380078,-0.08462027,-0.24382047,-0.25380078,0.02628644,-0.08189280,0.73474604,-0.25380078,-0.05606982,-0.12503523,-0.05111343,-0.29771253,-0.10558076,-0.26042026,-0.29247886,-0.01806254,-0.12503523,-0.04100611,0.05994611,-0.10510768
0.20952670,0.73463041,-0.24822560,0.18938896,0.20952670,-0.03218512,-0.32907626,-0.10024474,-0.04748110,-0.14224593,-0.05529037,0.20952670,0.73463041,-0.24822560,0.18938896,0.20952670,-0.03218512,-0.32907626,-0.10024474,-0.04748110,-0.14224593,-0.05529037,-0.04748110,0.20952670,0.73463041,-0.48739514,0.73463041,-0.21801808,-0.02094728,-0.14877345,0.20952670,0.06846410,0.20952670,0.73463041,-0.48739514,0.07052843,0.73463041,-0.01701772,-0.21153475,0.20952670,0.73463041,-0.21498436,-0.14224593,0.00123667,-0.04748110,-0.17066638,0.01854213,-0.10024474,-0.21801808,-0.14224593,0.02897429,-0.09252308,0.18938896
0.98069084,-0.14562763,0.13347608,-0.07824650,0.98069084,-0.10983634,0.08292668,-0.04053177,-0.08229268,-0.04772662,-0.07793508,0.98069084,-0.14562763,0.13347608,-0.07824650,0.98069084,-0.10983634,0.08292668,-0.04053177,-0.08229268,-0.04772662,-0.07793508,-0.08229268,0.98069084,-0.14562763,-0.16450767,-0.14562763,-0.09539307,-0.00477622,0.01542251,0.98069084,-0.09301769,0.98069084,-0.14562763,-0.16450767,-0.13385467,-0.14562763,-0.01061863,0.05868477,0.98069084,-0.14562763,0.03135614,-0.04772662,0.09100962,-0.08229268,-0.06711926,-0.14717999,-0.04053177,-0.09539307,-0.04772662,-0.03838317,0.07733944,-0.07824650
0.94924450,-0.16632554,0.06099892,-0.08602380,0.94924450,-0.06916081,0.00927097,-0.15681982,-0.09639733,-0.04426683,-0.04699602,0.94924450,-0.16632554,0.06099892,-0.08602380,0.94924450,-0.06916081,0.00927097,-0.15681982,-0.09639733,-0.04426683,-0.04699602,-0.09639733,0.94924450,-0.16632554,-0.20897730,-0.16632554,-0.07894142,0.02101776,-0.02282301,0.94924450,-0.06469493,0.94924450,-0.16632554,-0.20897730,-0.17113164,-0.16632554,-0.03936718,-0.00567994,0.94924450,-0.16632554,0.01284603,-0.04426683,-0.01878527,-0.09639733,-0.06694214,-0.16694260,-0.15681982,-0.07894142,-0.04426683,-0.03349509,0.05623294,-0.08602380
