representation,metric,count,mean,median
local,normalized_primary_score,3,0.35966608483806933,0.3486455535888672
local,normalized_nw_score,3,0.24486910098444217,0.2322583728366428
local,mean_path_cosine,3,0.5056092730096075,0.46326538207738294
local,mean_mask_iou,3,0.4781559909092963,0.4664887210702777
local,path_cosine_margin,3,0.14009040504009454,0.06776633096295731
local,path_cosine_z,3,0.6757308681134052,0.3442368197256319
local,component_count,3,3.0,3.0
local,gap_steps,3,3.3333333333333335,4.0
context,normalized_primary_score,3,0.28433376205386374,0.32751871989323544
context,normalized_nw_score,3,0.13113986625873222,0.09899099289424836
context,mean_path_cosine,3,0.4777966403665627,0.5294461822823474
context,mean_mask_iou,3,0.7035737928718241,0.7479028647011332
context,path_cosine_margin,3,0.32261296249454074,0.3659555143431613
context,path_cosine_z,3,1.8940768043545988,2.1027865907309606
context,component_count,3,3.6666666666666665,4.0
context,gap_steps,3,8.0,6.0
fused,normalized_primary_score,3,0.29739505426518204,0.33652484163324886
fused,normalized_nw_score,3,0.0817853571876647,0.06977406759110708
fused,mean_path_cosine,3,0.5922499716876685,0.5944991371461323
fused,mean_mask_iou,3,0.8416731754432153,0.8817739822899009
fused,path_cosine_margin,3,0.553328474546347,0.5768423098006419
fused,path_cosine_z,3,2.5861558721710747,2.4052517573123278
fused,component_count,3,2.3333333333333335,2.0
fused,gap_steps,3,11.333333333333334,14.0
fused_wrong_context,normalized_primary_score,3,0.1455060046816629,0.12202006748744419
fused_wrong_context,normalized_nw_score,3,-0.00738089125623148,-0.0003407327901749384
fused_wrong_context,mean_path_cosine,3,0.3792275448226266,0.37542140670120716
fused_wrong_context,mean_mask_iou,3,0.14193307980759826,0.06350763698486939
fused_wrong_context,path_cosine_margin,3,0.3303391011638774,0.3517379555851221
fused_wrong_context,path_cosine_z,3,1.6881971611139779,1.6184926186112119
fused_wrong_context,component_count,3,1.0,1.0
fused_wrong_context,gap_steps,3,10.0,10.0
