representation,metric,count,mean,median
local,normalized_primary_score,3,0.4217808156302481,0.44096842679110443
local,normalized_nw_score,3,0.4324476453993056,0.4619669233049665
local,mean_path_cosine,3,0.4655124470561338,0.49014014582480153
local,mean_mask_iou,3,0.5032159134270202,0.4611166500498505
local,path_cosine_margin,3,0.04988239456907837,0.02059800009573659
local,path_cosine_z,3,0.43008092375864804,0.18593547650324435
local,component_count,3,1.0,1.0
local,gap_steps,3,4.0,4.0
context,normalized_primary_score,3,0.2608517590508405,0.24488898057204025
context,normalized_nw_score,3,0.248543865466244,0.23919847276475695
context,mean_path_cosine,3,0.33659064470077177,0.33765041096894827
context,mean_mask_iou,3,0.5081488419273753,0.4778348270809252
context,path_cosine_margin,3,0.14857811926150935,0.1472700314113387
context,path_cosine_z,3,0.790944674135979,0.7556043653442336
context,component_count,3,1.0,1.0
context,gap_steps,3,8.666666666666666,8.0
fused,normalized_primary_score,3,0.20253313141795284,0.20562588222443112
fused,normalized_nw_score,3,0.17889806454774562,0.17775841364784847
fused,mean_path_cosine,3,0.35967633180990427,0.38467798026071653
fused,mean_mask_iou,3,0.5193680665312499,0.5206900283957063
fused,path_cosine_margin,3,0.2928269771553537,0.293016586618291
fused,path_cosine_z,3,1.1368094450300654,1.1246731483917543
fused,component_count,3,1.0,1.0
fused,gap_steps,3,16.666666666666668,16.0
fused_wrong_context,normalized_primary_score,3,0.17100459290789663,0.16785035413854263
fused_wrong_context,normalized_nw_score,3,0.15826322918846494,0.16726580120268322
fused_wrong_context,mean_path_cosine,3,0.31210099802922836,0.3210437833223232
fused_wrong_context,mean_mask_iou,3,0.4696362183068235,0.48645598194130923
fused_wrong_context,path_cosine_margin,3,0.229012683247642,0.2410051016960033
fused_wrong_context,path_cosine_z,3,0.9781224547408235,1.0105199273001038
fused_wrong_context,component_count,3,1.6666666666666667,2.0
fused_wrong_context,gap_steps,3,10.0,10.0
