bridged_trace_steps,component_bridge_limit,component_count,component_support_floor,cosine_match_rule,evidence_json,feature,full_match_steps,gap,gap_steps,geometry,gt_mask1,gt_mask2,image1,image2,index,label_type,line1_component_ranges,line1_intervals_px,line1_mask_dice,line1_mask_iou,line1_mask_precision,line1_mask_recall,line1_matched_fraction,line1_path_end,line1_path_fraction,line1_path_start,line1_path_windows,line1_source_intervals_px,line1_span_windows,line1_windows,line2_component_ranges,line2_intervals_px,line2_mask_dice,line2_mask_iou,line2_mask_precision,line2_mask_recall,line2_matched_fraction,line2_path_end,line2_path_fraction,line2_path_start,line2_path_windows,line2_source_intervals_px,line2_span_windows,line2_windows,local_weight,mask_coordinate_system,matrix_csv_cosine,matrix_csv_match,matrix_mean_cosine,matrix_std_cosine,mean_full_path_cosine,mean_mask_iou,mean_path_cosine,normalized_nw_score,normalized_primary_score,normalized_sw_score,nw_line1_intervals_px,nw_line2_intervals_px,nw_score,output,pair_id,path_cosine_margin,path_cosine_z,path_steps,primary_algorithm,primary_route_candidate_matches,primary_route_threshold_matches,primary_route_threshold_mismatches,primary_score,representation,score_clip,score_mode,side1_preprocess,side1_type,side2_preprocess,side2_type,source_type,split,status,sw_component_count,sw_line1_intervals_px,sw_line2_intervals_px,sw_mean_path_cosine,sw_path_steps,sw_score,text_score,threshold,threshold_match_cells,threshold_match_fraction,threshold_total_cells,trace_candidate_rule,traceback_steps,warp_steps
0,0,4,0.0,match iff raw cosine > threshold,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_04230/evidence/nw_match_scores_values_trace.json,contextual,46,-0.3,6,"[{""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_top"": 38, ""crop_right"": 1024, ""crop_bottom"": 91, ""crop_width"": 1024, ""crop_height"": 53, ""crop_margin_x"": 0.025, ""crop_margin_y"": 0.15, ""scale_x"": 0.71875, ""scale_y"": 0.7169811320754716, ""resize_scale"": 0.71875, ""resized_width"": 736, ""resized_height"": 38, ""offset_x"": 144, ""offset_y"": 45, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": true, ""preserve_aspect"": true, ""artificial_padding"": true, ""image_preprocessing"": ""wide_side_padding"", ""color_mode"": ""RGB"", ""requested_min_side_padding_px"": 144, ""actual_left_padding_px"": 144, ""actual_right_padding_px"": 144, ""target_ink_height_pixels"": 92, ""autocontrast"": false, ""auto_invert"": false, ""content_preview_path"": ""/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_04230/line1_content_crop.png"", ""content_preview_crop_left"": 144, ""content_preview_crop_top"": 45, ""content_preview_crop_right"": 880, ""content_preview_crop_bottom"": 83, ""content_preview_rescaled"": false}, {""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_top"": 25, ""crop_right"": 1024, ""crop_bottom"": 104, ""crop_width"": 1024, ""crop_height"": 79, ""crop_margin_x"": 0.025, ""crop_margin_y"": 0.15, ""scale_x"": 0.71875, ""scale_y"": 0.7215189873417721, ""resize_scale"": 0.71875, ""resized_width"": 736, ""resized_height"": 57, ""offset_x"": 144, ""offset_y"": 35, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": true, ""preserve_aspect"": true, ""artificial_padding"": true, ""image_preprocessing"": ""wide_side_padding"", ""color_mode"": ""RGB"", ""requested_min_side_padding_px"": 144, ""actual_left_padding_px"": 144, ""actual_right_padding_px"": 144, ""target_ink_height_pixels"": 92, ""autocontrast"": false, ""auto_invert"": false, ""content_preview_path"": ""/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_04230/line2_content_crop.png"", ""content_preview_crop_left"": 144, ""content_preview_crop_top"": 35, ""content_preview_crop_right"": 880, ""content_preview_crop_bottom"": 92, ""content_preview_rescaled"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_4230.png,4230,,"[[7,25],[28,32],[33,49],[51,55]]","[[600.0, 904.0], [488.0, 568.0], [216.0, 488.0], [120.0, 200.0]]",0.6939331970006817,0.5313152400835073,0.5313152400835073,1.0,0.7301587301587301,55,0.7301587301587301,7,46,"[[634.4347826086956, 1024.0], [478.60869565217394, 589.9130434782609], [100.17391304347827, 478.60869565217394], [0.0, 77.91304347826087]]",46,63,"[[9,27],[28,32],[34,50],[51,55]]","[[568.0, 872.0], [488.0, 568.0], [200.0, 472.0], [120.0, 200.0]]",0.5909090909090909,0.41935483870967744,0.41935483870967744,1.0,0.7301587301587301,55,0.7301587301587301,9,46,"[[589.9130434782609, 1012.8695652173913], [478.60869565217394, 589.9130434782609], [77.91304347826087, 456.3478260869565], [0.0, 77.91304347826087]]",46,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_04230/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_04230/matrices/nw_match_scores_values_match_score.csv,0.15499500930309296,0.17041608691215515,0.32347366841428954,0.4753350393965924,0.32347366841428954,0.17200689467172775,0.2735957717895508,0.2735957717895508,"[[872.0, 1024.0], [600.0, 872.0], [488.0, 568.0], [216.0, 488.0], [0.0, 200.0]]","[[872.0, 1024.0], [568.0, 840.0], [488.0, 568.0], [200.0, 472.0], [0.0, 200.0]]",10.836434364318848,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_04230,synthetic_4230,0.16847865911119658,0.9886311918313365,46,smith_waterman,46,46,0,13.679788589477539,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,4,"[[600.0, 904.0], [488.0, 568.0], [216.0, 488.0], [120.0, 200.0]]","[[568.0, 872.0], [488.0, 568.0], [200.0, 472.0], [120.0, 200.0]]",0.32347366841428954,46,13.679788589477539,0.0,0.0,3220,0.8112874779541446,3969,SW/NW determines candidate route; threshold determines accepted matches,50,4
0,0,4,0.0,match iff raw cosine > threshold,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_01172/evidence/nw_match_scores_values_trace.json,contextual,47,-0.3,4,"[{""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_top"": 34, ""crop_right"": 1024, ""crop_bottom"": 94, ""crop_width"": 1024, ""crop_height"": 60, ""crop_margin_x"": 0.025, ""crop_margin_y"": 0.15, ""scale_x"": 0.71875, ""scale_y"": 0.7166666666666667, ""resize_scale"": 0.71875, ""resized_width"": 736, ""resized_height"": 43, ""offset_x"": 144, ""offset_y"": 42, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": true, ""preserve_aspect"": true, ""artificial_padding"": true, ""image_preprocessing"": ""wide_side_padding"", ""color_mode"": ""RGB"", ""requested_min_side_padding_px"": 144, ""actual_left_padding_px"": 144, ""actual_right_padding_px"": 144, ""target_ink_height_pixels"": 92, ""autocontrast"": false, ""auto_invert"": false, ""content_preview_path"": ""/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_01172/line1_content_crop.png"", ""content_preview_crop_left"": 144, ""content_preview_crop_top"": 42, ""content_preview_crop_right"": 880, ""content_preview_crop_bottom"": 85, ""content_preview_rescaled"": false}, {""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_top"": 0, ""crop_right"": 1024, ""crop_bottom"": 128, ""crop_width"": 1024, ""crop_height"": 128, ""crop_margin_x"": 0.025, ""crop_margin_y"": 0.15, ""scale_x"": 0.71875, ""scale_y"": 0.71875, ""resize_scale"": 0.71875, ""resized_width"": 736, ""resized_height"": 92, ""offset_x"": 144, ""offset_y"": 18, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": true, ""preserve_aspect"": true, ""artificial_padding"": true, ""image_preprocessing"": ""wide_side_padding"", ""color_mode"": ""RGB"", ""requested_min_side_padding_px"": 144, ""actual_left_padding_px"": 144, ""actual_right_padding_px"": 144, ""target_ink_height_pixels"": 92, ""autocontrast"": false, ""auto_invert"": false, ""content_preview_path"": ""/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_01172/line2_content_crop.png"", ""content_preview_crop_left"": 144, ""content_preview_crop_top"": 18, ""content_preview_crop_right"": 880, ""content_preview_crop_bottom"": 110, ""content_preview_rescaled"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_1172.png,1172,,"[[7,16],[17,21],[22,35],[41,55]]","[[744.0, 904.0], [664.0, 744.0], [440.0, 664.0], [120.0, 360.0]]",0.8474148802017655,0.7352297592997812,0.7352297592997812,1.0,0.6984126984126984,55,0.6984126984126984,7,44,"[[834.7826086956521, 1024.0], [723.4782608695652, 834.7826086956521], [411.82608695652175, 723.4782608695652], [0.0, 300.5217391304348]]",44,63,"[[7,16],[18,22],[24,37],[41,55]]","[[744.0, 904.0], [648.0, 728.0], [408.0, 632.0], [120.0, 360.0]]",0.8487084870848709,0.7371794871794872,0.7540983606557377,0.9704641350210971,0.6984126984126984,55,0.6984126984126984,7,44,"[[834.7826086956521, 1024.0], [701.2173913043479, 812.5217391304348], [367.30434782608694, 678.9565217391304], [0.0, 300.5217391304348]]",44,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_01172/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_01172/matrices/nw_match_scores_values_match_score.csv,0.14706535637378693,0.1670660674571991,0.4865254164138373,0.7362046232396342,0.5006397664123639,0.2994712647937593,0.4248371498257506,0.4248371498257506,"[[744.0, 1024.0], [664.0, 744.0], [440.0, 664.0], [0.0, 360.0]]","[[744.0, 1024.0], [648.0, 728.0], [408.0, 632.0], [0.0, 360.0]]",18.866689682006836,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_01172,synthetic_1172,0.3535744100385769,2.1163747696949873,44,smith_waterman,47,44,3,21.66669464111328,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,4,"[[744.0, 904.0], [664.0, 744.0], [440.0, 664.0], [120.0, 360.0]]","[[744.0, 904.0], [648.0, 728.0], [408.0, 632.0], [120.0, 360.0]]",0.5006397664123639,44,21.66669464111328,0.0,0.0,3311,0.8342151675485009,3969,SW/NW determines candidate route; threshold determines accepted matches,51,4
0,0,3,0.0,match iff raw cosine > threshold,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_02762/evidence/nw_match_scores_values_trace.json,contextual,40,-0.3,12,"[{""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_top"": 0, ""crop_right"": 1024, ""crop_bottom"": 128, ""crop_width"": 1024, ""crop_height"": 128, ""crop_margin_x"": 0.025, ""crop_margin_y"": 0.15, ""scale_x"": 0.71875, ""scale_y"": 0.71875, ""resize_scale"": 0.71875, ""resized_width"": 736, ""resized_height"": 92, ""offset_x"": 144, ""offset_y"": 18, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": true, ""preserve_aspect"": true, ""artificial_padding"": true, ""image_preprocessing"": ""wide_side_padding"", ""color_mode"": ""RGB"", ""requested_min_side_padding_px"": 144, ""actual_left_padding_px"": 144, ""actual_right_padding_px"": 144, ""target_ink_height_pixels"": 92, ""autocontrast"": false, ""auto_invert"": false, ""content_preview_path"": ""/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_02762/line1_content_crop.png"", ""content_preview_crop_left"": 144, ""content_preview_crop_top"": 18, ""content_preview_crop_right"": 880, ""content_preview_crop_bottom"": 110, ""content_preview_rescaled"": false}, {""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_top"": 33, ""crop_right"": 1024, ""crop_bottom"": 95, ""crop_width"": 1024, ""crop_height"": 62, ""crop_margin_x"": 0.025, ""crop_margin_y"": 0.15, ""scale_x"": 0.71875, ""scale_y"": 0.7258064516129032, ""resize_scale"": 0.71875, ""resized_width"": 736, ""resized_height"": 45, ""offset_x"": 144, ""offset_y"": 41, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": true, ""preserve_aspect"": true, ""artificial_padding"": true, ""image_preprocessing"": ""wide_side_padding"", ""color_mode"": ""RGB"", ""requested_min_side_padding_px"": 144, ""actual_left_padding_px"": 144, ""actual_right_padding_px"": 144, ""target_ink_height_pixels"": 92, ""autocontrast"": false, ""auto_invert"": false, ""content_preview_path"": ""/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_02762/line2_content_crop.png"", ""content_preview_crop_left"": 144, ""content_preview_crop_top"": 41, ""content_preview_crop_right"": 880, ""content_preview_crop_bottom"": 86, ""content_preview_rescaled"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_2762.png,2762,,"[[13,36],[37,47],[48,52]]","[[424.0, 808.0], [248.0, 424.0], [168.0, 248.0]]",0.5766773162939297,0.4051627384960718,0.4051627384960718,1.0,0.6349206349206349,52,0.6349206349206349,13,40,"[[389.5652173913044, 923.8260869565217], [144.69565217391303, 389.5652173913044], [33.391304347826086, 144.69565217391303]]",40,63,"[[7,30],[32,42],[44,48]]","[[520.0, 904.0], [328.0, 504.0], [232.0, 312.0]]",0.3737704918032787,0.22983870967741934,0.26573426573426573,0.6298342541436464,0.6349206349206349,48,0.6349206349206349,7,40,"[[523.1304347826087, 1024.0], [256.0, 500.8695652173913], [122.43478260869566, 233.7391304347826]]",40,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_02762/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_02762/matrices/nw_match_scores_values_match_score.csv,0.1634906679391861,0.17403359711170197,0.3435954385437071,0.31750072408674557,0.3435954385437071,0.1373424984159924,0.3129480452764602,0.3129480452764602,"[[424.0, 760.0], [248.0, 424.0], [0.0, 168.0]]","[[520.0, 856.0], [328.0, 504.0], [0.0, 168.0]]",8.65257740020752,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_174822/old_resnet_token_vit/context/pair_02762,synthetic_2762,0.18010477060452101,1.0348850658354336,40,smith_waterman,40,40,0,13.143817901611328,primary,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,3,"[[424.0, 808.0], [248.0, 424.0], [168.0, 248.0]]","[[520.0, 904.0], [328.0, 504.0], [232.0, 312.0]]",0.3435954385437071,40,13.143817901611328,0.0,0.0,3324,0.8374905517762661,3969,SW/NW determines candidate route; threshold determines accepted matches,42,2
