bridged_trace_steps,component_bridge_limit,component_count,component_support_floor,evidence_json,feature,full_match_steps,gap,gap_steps,geometry,gt_mask1,gt_mask2,image1,image2,index,label_type,line1_component_ranges,line1_intervals_px,line1_mask_dice,line1_mask_iou,line1_mask_precision,line1_mask_recall,line1_matched_fraction,line1_path_end,line1_path_fraction,line1_path_start,line1_path_windows,line1_source_intervals_px,line1_span_windows,line1_windows,line2_component_ranges,line2_intervals_px,line2_mask_dice,line2_mask_iou,line2_mask_precision,line2_mask_recall,line2_matched_fraction,line2_path_end,line2_path_fraction,line2_path_start,line2_path_windows,line2_source_intervals_px,line2_span_windows,line2_windows,local_weight,mask_coordinate_system,matrix_csv_cosine,matrix_csv_match,matrix_mean_cosine,matrix_std_cosine,mean_full_path_cosine,mean_mask_iou,mean_path_cosine,normalized_nw_score,normalized_primary_score,normalized_sw_score,nw_line1_intervals_px,nw_line2_intervals_px,nw_score,output,pair_id,path_cosine_margin,path_cosine_z,path_steps,primary_algorithm,primary_score,representation,score_clip,score_mode,side1_preprocess,side1_type,side2_preprocess,side2_type,source_type,split,status,sw_component_count,sw_line1_intervals_px,sw_line2_intervals_px,sw_mean_path_cosine,sw_path_steps,sw_score,text_score,threshold,traceback_steps,warp_steps
5,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_04230/evidence/nw_match_scores_values_trace.json,local,59,-0.3,4,"[{""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_top"": 38, ""crop_width"": 1024, ""crop_height"": 53, ""crop_right"": 1024, ""crop_bottom"": 91, ""crop_margin_x"": 0.025, ""crop_margin_y"": 0.15, ""scale_x"": 1.0, ""scale_y"": 1.0, ""resize_scale"": 1.0, ""resized_width"": 1024, ""resized_height"": 53, ""offset_x"": 0, ""offset_y"": 37, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": true, ""preserve_aspect"": true, ""image_preprocessing"": ""training"", ""autocontrast"": true, ""auto_invert"": true, ""content_preview_path"": ""/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_04230/line1_content_crop.png"", ""content_preview_crop_left"": 0, ""content_preview_crop_top"": 37, ""content_preview_crop_right"": 1024, ""content_preview_crop_bottom"": 90, ""content_preview_rescaled"": false}, {""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_top"": 25, ""crop_width"": 1024, ""crop_height"": 79, ""crop_right"": 1024, ""crop_bottom"": 104, ""crop_margin_x"": 0.025, ""crop_margin_y"": 0.15, ""scale_x"": 1.0, ""scale_y"": 1.0, ""resize_scale"": 1.0, ""resized_width"": 1024, ""resized_height"": 79, ""offset_x"": 0, ""offset_y"": 24, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": true, ""preserve_aspect"": true, ""image_preprocessing"": ""training"", ""autocontrast"": true, ""auto_invert"": true, ""content_preview_path"": ""/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_04230/line2_content_crop.png"", ""content_preview_crop_left"": 0, ""content_preview_crop_top"": 24, ""content_preview_crop_right"": 1024, ""content_preview_crop_bottom"": 103, ""content_preview_rescaled"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_4230.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_4230.png,4230,,"[[0,60]]","[[40.0, 1024.0]]",0.6818486269256531,0.5172764227642277,0.5172764227642277,1.0,0.9682539682539683,60,0.9365079365079365,0,59,"[[40.0, 1024.0]]",61,63,"[[1,62]]","[[0.0, 1000.0]]",0.5875706214689266,0.416,0.416,1.0,0.9841269841269841,62,0.9365079365079365,1,59,"[[0.0, 1000.0]]",62,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_04230/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_04230/matrices/nw_match_scores_values_match_score.csv,0.34632909297943115,0.15236897766590118,0.4559861714557066,0.4666382113821138,0.4559861714557066,0.3948392413911365,0.39692482352256775,0.39692482352256775,"[[0.0, 1024.0]]","[[24.0, 1024.0]]",24.8748722076416,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_04230,synthetic_4230,0.10965707847627543,0.7196811329713063,59,smith_waterman,25.403188705444336,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,1,"[[40.0, 1024.0]]","[[0.0, 1000.0]]",0.4559861714557066,59,25.403188705444336,0.0,0.0,64,5
12,2,2,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_01172/evidence/nw_match_scores_values_trace.json,local,47,-0.3,32,"[{""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_top"": 34, ""crop_width"": 1024, ""crop_height"": 60, ""crop_right"": 1024, ""crop_bottom"": 94, ""crop_margin_x"": 0.025, ""crop_margin_y"": 0.15, ""scale_x"": 1.0, ""scale_y"": 1.0, ""resize_scale"": 1.0, ""resized_width"": 1024, ""resized_height"": 60, ""offset_x"": 0, ""offset_y"": 34, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": true, ""preserve_aspect"": true, ""image_preprocessing"": ""training"", ""autocontrast"": true, ""auto_invert"": true, ""content_preview_path"": ""/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_01172/line1_content_crop.png"", ""content_preview_crop_left"": 0, ""content_preview_crop_top"": 34, ""content_preview_crop_right"": 1024, ""content_preview_crop_bottom"": 94, ""content_preview_rescaled"": false}, {""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_top"": 0, ""crop_width"": 1024, ""crop_height"": 128, ""crop_right"": 1024, ""crop_bottom"": 128, ""crop_margin_x"": 0.025, ""crop_margin_y"": 0.15, ""scale_x"": 0.71875, ""scale_y"": 0.71875, ""resize_scale"": 0.71875, ""resized_width"": 736, ""resized_height"": 92, ""offset_x"": 144, ""offset_y"": 18, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": true, ""preserve_aspect"": true, ""image_preprocessing"": ""training"", ""autocontrast"": true, ""auto_invert"": true, ""content_preview_path"": ""/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_01172/line2_content_crop.png"", ""content_preview_crop_left"": 144, ""content_preview_crop_top"": 18, ""content_preview_crop_right"": 880, ""content_preview_crop_bottom"": 110, ""content_preview_rescaled"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_1172.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_1172.png,1172,,"[[0,40],[45,62]]","[[360.0, 1024.0], [0.0, 296.0]]",0.8235294117647058,0.7,0.7,1.0,0.9365079365079365,62,0.746031746031746,0,47,"[[360.0, 1024.0], [0.0, 296.0]]",59,63,"[[8,39],[40,54]]","[[376.0, 888.0], [136.0, 376.0]]",0.8195965417867436,0.6943359375,0.6943359375,1.0,0.746031746031746,54,0.746031746031746,8,47,"[[322.7826086956522, 1024.0], [0.0, 322.7826086956522]]",47,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_01172/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_01172/matrices/nw_match_scores_values_match_score.csv,0.3097918927669525,0.13435257971286774,0.6561385738722821,0.69716796875,0.6561385738722821,0.3371194203694661,0.4133098844497923,0.4133098844497923,"[[360.0, 1024.0], [0.0, 296.0]]","[[376.0, 888.0], [136.0, 376.0]]",21.238523483276367,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_01172,synthetic_1172,0.3463466811053296,2.577893791436875,47,smith_waterman,26.038522720336914,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,2,"[[360.0, 1024.0], [0.0, 296.0]]","[[376.0, 888.0], [136.0, 376.0]]",0.6561385738722821,47,26.038522720336914,0.0,0.0,63,16
4,2,1,0.0,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_02762/evidence/nw_match_scores_values_trace.json,local,49,-0.3,20,"[{""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_top"": 0, ""crop_width"": 1024, ""crop_height"": 128, ""crop_right"": 1024, ""crop_bottom"": 128, ""crop_margin_x"": 0.025, ""crop_margin_y"": 0.15, ""scale_x"": 0.71875, ""scale_y"": 0.71875, ""resize_scale"": 0.71875, ""resized_width"": 736, ""resized_height"": 92, ""offset_x"": 144, ""offset_y"": 18, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": true, ""preserve_aspect"": true, ""image_preprocessing"": ""training"", ""autocontrast"": true, ""auto_invert"": true, ""content_preview_path"": ""/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_02762/line1_content_crop.png"", ""content_preview_crop_left"": 144, ""content_preview_crop_top"": 18, ""content_preview_crop_right"": 880, ""content_preview_crop_bottom"": 110, ""content_preview_rescaled"": false}, {""source_width"": 1024, ""source_height"": 128, ""crop_left"": 0, ""crop_top"": 33, ""crop_width"": 1024, ""crop_height"": 62, ""crop_right"": 1024, ""crop_bottom"": 95, ""crop_margin_x"": 0.025, ""crop_margin_y"": 0.15, ""scale_x"": 1.0, ""scale_y"": 1.0, ""resize_scale"": 1.0, ""resized_width"": 1024, ""resized_height"": 62, ""offset_x"": 0, ""offset_y"": 33, ""canvas_width"": 1024, ""canvas_height"": 128, ""binarize"": false, ""crop_foreground"": true, ""preserve_aspect"": true, ""image_preprocessing"": ""training"", ""autocontrast"": true, ""auto_invert"": true, ""content_preview_path"": ""/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_02762/line2_content_crop.png"", ""content_preview_crop_left"": 0, ""content_preview_crop_top"": 33, ""content_preview_crop_right"": 1024, ""content_preview_crop_bottom"": 95, ""content_preview_rescaled"": false}]",/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask1_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/masks/mask2_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img1_2762.png,/home/ahmedmas/BGU-Lab/AlignmentProject/DataSet/Synthetic63/images/img2_2762.png,2762,,"[[7,55]]","[[120.0, 904.0]]",0.5212996389891696,0.3525390625,0.3525390625,1.0,0.7777777777777778,55,0.7777777777777778,7,49,"[[0.0, 1024.0]]",49,63,"[[6,58]]","[[72.0, 920.0]]",0.49586776859504134,0.32967032967032966,0.35377358490566035,0.8287292817679558,0.8412698412698413,58,0.7777777777777778,6,49,"[[72.0, 920.0]]",53,63,,source_image,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_02762/matrices/nw_match_scores_values_cosine.csv,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_02762/matrices/nw_match_scores_values_match_score.csv,0.32180964946746826,0.131836399435997,0.3808604104786503,0.3411046960851648,0.3808604104786503,0.18470974574013363,0.3294746830778302,0.3294746830778302,"[[120.0, 904.0]]","[[72.0, 1024.0]]",11.636713981628418,/home/ahmedmas/BGU-Lab/AlignmentProject/Results/Evaluation/Point2/old_vs_physical_20260919_162522/old_resnet_token_vit/local/pair_02762,synthetic_2762,0.05905076101118206,0.4479093881796249,49,smith_waterman,17.462158203125,local,4.0,raw,synthetic,synthetic,synthetic,synthetic,synthetic,test,ok,1,"[[120.0, 904.0]]","[[72.0, 920.0]]",0.3808604104786503,49,17.462158203125,0.0,0.0,53,4
