-0.50000000,-0.80000001,-1.10000002,-1.39999998,-1.69999993,-1.99999988,-2.29999995,-1.92270887,-1.74734926,-2.01160741,-2.27078700,-2.57078695,-2.86583662,-3.16583657,-3.46583652,-3.76583648,-4.06583643,-4.36583662,-4.66583681,-4.96583700,-5.26583719,-5.56583738,-5.86583757,-6.16583776,-6.46583796,-6.76583815,-7.05672073,-7.35672092,-7.65672112,-7.95672131,-8.25672150,-8.55672169,-8.85672188,-9.15672207,-9.45672226,-9.75672245,-10.05672264,-10.35672283,-10.65672302,-10.95672321,-11.25672340,-11.55672359,-11.85672379,-12.15672398,-12.45672417,-12.75672436,-13.05672455,-13.35672474,-13.65672493,-13.95672512,-14.25672531,-14.55672550,-14.85672569,-15.15672588,-15.45672607,-15.75672626,-16.05672646,-16.35672569,-16.65672493,-16.95672417,-17.25672340,-17.55672264,-17.85672188
-0.80000001,-1.00000000,-1.29999995,-1.59999990,-1.89999986,-2.19999981,-2.49999976,-2.10511136,-1.10809684,-0.98890167,-1.18486047,-1.46309710,-1.74547851,-2.00875783,-2.30875778,-2.60875773,-2.90875769,-3.20875764,-3.50695610,-3.80540919,-4.09461260,-4.39461279,-4.69461298,-4.99461317,-5.29461336,-5.59461355,-5.89461374,-6.19461393,-6.49461412,-6.79461432,-7.09461451,-7.39461470,-7.69461489,-7.99461508,-8.29461479,-8.58244896,-8.88244915,-9.18244934,-9.48244953,-9.78244972,-10.08244991,-10.38245010,-10.68245029,-10.98245049,-11.28245068,-11.58079720,-11.88079739,-12.18079758,-12.48079777,-12.78079796,-13.08079815,-13.38079834,-13.68079853,-13.98079872,-14.28079891,-14.58079910,-14.88079929,-15.18079948,-15.48079967,-15.78079987,-16.08079910,-16.38079834,-16.68079758
-1.10000002,-1.29999995,-1.50000000,-1.79999995,-2.09999990,-2.39999986,-2.69999981,-2.28778887,-1.35108650,-0.22009653,-0.12679458,-0.31092572,-0.61092573,-0.91092575,-1.14018261,-1.44018257,-1.74018252,-2.04018259,-2.34018254,-2.64018250,-2.94018245,-3.22505641,-3.52505636,-3.82505631,-4.12505627,-4.42505646,-4.72505665,-5.02505684,-5.32505703,-5.62505722,-5.92505741,-6.22505760,-6.52505779,-6.82505798,-7.12505817,-7.42505836,-7.72505856,-8.02505875,-8.32505894,-8.62505913,-8.92505932,-9.22505951,-9.52505970,-9.82505989,-10.12506008,-10.42506027,-10.72506046,-11.02506065,-11.32506084,-11.62506104,-11.92506123,-12.22506142,-12.52506161,-12.82506180,-13.12506199,-13.42506218,-13.72506237,-14.02506256,-14.32506275,-14.62506294,-14.92506313,-15.22506332,-15.52506351
-1.39999998,-1.59999990,-1.79999995,-2.00000000,-2.29999995,-2.59999990,-2.89999986,-2.48520160,-1.54174447,-0.47724283,0.61816359,0.73864055,0.51330650,0.21330650,-0.05984187,-0.31906152,-0.61143625,-0.91143626,-1.21143627,-1.51143622,-1.81143618,-2.08534551,-2.36300159,-2.66300154,-2.95670676,-3.25670671,-3.55670667,-3.85670662,-4.15670681,-4.45670700,-4.75670719,-5.05670738,-5.35670757,-5.65670776,-5.95670795,-6.25670815,-6.55670834,-6.85670853,-7.15670872,-7.45670891,-7.75670910,-8.05670929,-8.35670948,-8.65670967,-8.95670986,-9.25671005,-9.55671024,-9.85671043,-10.15671062,-10.45671082,-10.75671101,-11.05671120,-11.35671139,-11.65671158,-11.95671177,-12.25671196,-12.55671215,-12.85671234,-13.15671253,-13.45671272,-13.75671291,-14.05671310,-14.35671329
-1.69999993,-1.89999986,-2.09999990,-2.29999995,-2.50000000,-2.79999995,-3.09999990,-2.73240328,-1.75359893,-0.77270752,0.32395923,1.39393616,1.56417263,1.28128839,1.01004565,0.71004564,0.44923168,0.20111096,-0.09888904,-0.39888903,-0.69888902,-0.99888903,-1.29888904,-1.59257960,-1.88132513,-2.18132520,-2.44367123,-2.74367118,-3.04367113,-3.34367108,-3.64367104,-3.94367099,-4.24367094,-4.54367113,-4.84367132,-5.14367151,-5.44367170,-5.74367189,-6.04367208,-6.34367228,-6.64367247,-6.94367266,-7.24367285,-7.54367304,-7.84367323,-8.14367294,-8.44367313,-8.74367332,-9.04367352,-9.34367371,-9.64367390,-9.94367409,-10.24367428,-10.54367447,-10.84367466,-11.14367485,-11.44367504,-11.74367523,-12.04367542,-12.34367561,-12.64367580,-12.94367599,-13.24367619
-1.99999988,-2.19999981,-2.39999986,-2.59999990,-2.79999995,-3.00000000,-3.29999995,-2.93085313,-2.03466702,-1.05299318,0.02395923,1.09393620,2.19027352,2.36517429,2.06517434,1.76563132,1.46563137,1.27305913,1.01942348,0.71942347,0.41942346,0.11942346,-0.18057653,-0.48057655,-0.78057653,-1.06266153,-1.36266148,-1.66266143,-1.96266139,-2.26266146,-2.56266141,-2.86266136,-3.16266131,-3.42729759,-3.72729754,-4.02729750,-4.32729769,-4.62729788,-4.92729807,-5.22729826,-5.52729845,-5.82729864,-6.12729883,-6.42729902,-6.72729921,-7.02729940,-7.32729959,-7.62729979,-7.92729998,-8.22729969,-8.52729988,-8.82730007,-9.12730026,-9.42730045,-9.72730064,-10.02730083,-10.32730103,-10.62730122,-10.92730141,-11.22730160,-11.52730179,-11.82730198,-12.12730217
-2.29999995,-2.49999976,-2.69999981,-2.89999986,-3.09999990,-3.29999995,-3.50000000,-3.13324118,-2.28478765,-1.17927289,-0.27604076,0.80517644,1.89027357,2.88839841,3.14064789,2.84350514,2.55418611,2.25418615,1.95418620,1.66505778,1.38497889,1.24112296,0.94112295,0.64112294,0.34112293,0.04112292,-0.25887707,-0.55887705,-0.85887706,-1.15887702,-1.45887697,-1.75887692,-2.05887699,-2.35887694,-2.65887690,-2.95887685,-3.25887680,-3.55887675,-3.85887671,-4.15887690,-4.45887709,-4.75887728,-5.05887747,-5.35887766,-5.65887785,-5.95887804,-6.25887823,-6.55887842,-6.85887861,-7.15887880,-7.45887899,-7.75887918,-8.05887890,-8.35887909,-8.65887928,-8.95887947,-9.25887966,-9.55887985,-9.85888004,-10.15888023,-10.45888042,-10.75888062,-11.05888081
-2.59999990,-2.79999971,-2.99999976,-3.19999981,-3.39999986,-3.59999990,-3.79999995,-3.27448726,-2.43324780,-1.47491014,-0.39265978,0.50518501,1.59027362,2.64313436,3.68473291,3.92709637,3.62709641,3.32709646,3.02709651,2.72709656,2.42709661,2.17031026,2.01489687,1.71489692,1.42230225,1.12230229,0.82230228,0.52230227,0.22230227,-0.07769772,-0.37769774,-0.67769772,-0.97769773,-1.27769768,-1.57769763,-1.87769759,-2.17769766,-2.47769761,-2.77769756,-3.07769752,-3.37769747,-3.67769742,-3.97769737,-4.27769756,-4.57769775,-4.87769794,-5.17769814,-5.47769833,-5.77769852,-6.07769871,-6.37769890,-6.67769909,-6.97769928,-7.27769947,-7.57769966,-7.87769985,-8.17770004,-8.47770023,-8.77770042,-9.07770061,-9.37770081,-9.67770100,-9.97770119
-2.89999986,-3.09999967,-3.29999971,-3.49999976,-3.69999981,-3.89999986,-4.09999990,-3.57448721,-2.51954508,-1.63102436,-0.68069863,0.40735805,1.29027367,2.39944601,3.44842386,4.50988197,4.71529579,4.41529560,4.11529541,3.81529546,3.51531458,3.23324537,2.95052743,2.80453396,2.50453401,2.20453405,1.90453410,1.62434030,1.32434034,1.02434039,0.72434038,0.42434037,0.12434037,-0.17565963,-0.47565964,-0.77565962,-1.07565963,-1.37565958,-1.67565954,-1.97565949,-2.27565956,-2.57565951,-2.87565947,-3.17565942,-3.47565937,-3.77565932,-4.07565928,-4.37565947,-4.67565966,-4.97565985,-5.27566004,-5.57566023,-5.87566042,-6.17566061,-6.47566080,-6.77566099,-7.07566118,-7.37566137,-7.67566156,-7.97566175,-8.27566147,-8.57566166,-8.87566185
-3.19999981,-3.39999962,-3.59999967,-3.79999971,-3.99999976,-4.19999981,-4.39999962,-3.87448716,-2.81954503,-1.93102431,-0.92291170,0.10735805,1.13714123,2.09944606,3.14842391,4.20988178,5.16275644,5.43495655,5.15533495,4.85533476,4.55533457,4.25533438,3.95533442,3.65533447,3.44369078,3.25896907,2.95896912,2.65896916,2.35896921,2.05896926,1.75896931,1.45896935,1.15896940,0.88085395,0.58085394,0.28085393,-0.01914607,-0.31914607,-0.61914605,-0.88767242,-1.18767238,-1.48767233,-1.78767228,-2.08767223,-2.38767219,-2.68767214,-2.98767209,-3.28767204,-3.58767200,-3.88767195,-4.18767214,-4.48767233,-4.78767252,-5.08767271,-5.38767290,-5.68767309,-5.98767328,-6.28767347,-6.58767366,-6.88767385,-7.18767405,-7.48767424,-7.78767443
