side,step,valid_window_index,physical_window_index,letter_index,letter,cost
1,0,0,0,0,ا,4.442238807678223
1,1,1,1,0,ا,4.195716857910156
1,2,2,2,1,ذ,1.7860289812088013
1,3,3,3,2,ا,5.067021369934082
1,4,4,4,3,س,2.7677102088928223
1,5,5,5,4,ل,3.152208089828491
1,6,6,6,5,م,4.087862491607666
1,7,7,7,5,م,4.970551013946533
1,8,8,8,6,ت,2.2202563285827637
1,9,9,9,7,م,3.6199402809143066
1,10,10,10,8,م,3.8328909873962402
1,11,11,11,9,ا,4.964169025421143
1,12,12,12,10,ا,3.725015163421631
1,13,13,13,11,ت,0.5608316659927368
1,14,14,14,12,ي,3.2151143550872803
1,15,15,15,13,ت,5.598787784576416
1,16,16,16,14,م,2.910064458847046
1,17,17,17,15,ب,4.2940216064453125
1,18,18,18,16,ا,3.734553337097168
1,19,19,19,17,ل,1.3188915252685547
1,20,20,20,18,م,5.122549533843994
1,21,21,21,19,ع,3.223639488220215
1,22,22,22,19,ع,5.349457740783691
1,23,23,23,20,ر,3.036144733428955
1,24,24,24,21,و,5.283138751983643
1,25,25,25,22,ف,2.562450647354126
1,26,26,26,23,و,6.8143744468688965
1,27,27,27,24,ا,4.320805549621582
1,28,28,28,25,ت,2.9052672386169434
1,29,29,29,26,ق,4.910572052001953
1,30,30,30,27,و,2.231912612915039
1,31,31,31,28,ا,3.699129819869995
1,32,32,32,29,ا,2.7936439514160156
1,33,33,33,30,ل,4.635912895202637
1,34,34,34,31,ل,3.0464963912963867
1,35,35,35,32,ه,3.922779083251953
1,36,36,36,33,و,3.963867425918579
1,37,37,37,34,ا,2.418649673461914
1,38,38,38,35,ع,6.634385585784912
1,39,39,39,36,ل,4.7593207359313965
1,40,40,40,37,م,4.656576156616211
1,41,41,41,38,و,2.967681407928467
1,42,42,42,39,ا,4.370065689086914
1,43,43,43,40,ا,6.238283157348633
1,44,44,44,41,ن,4.635428428649902
1,45,45,45,42,ا,4.681687831878662
1,46,46,46,43,ل,1.9550387859344482
1,47,47,47,44,ل,1.178521752357483
1,48,48,48,45,ه,3.689544677734375
1,49,49,49,46,ب,2.9975626468658447
1,50,50,50,46,ب,1.1185131072998047
1,51,51,51,47,م,1.7013212442398071
1,52,52,52,47,م,4.922008514404297
1,53,53,53,48,ا,3.6086058616638184
1,54,54,54,49,ت,3.7229504585266113
1,55,55,55,50,ع,3.959674119949341
1,56,56,56,51,م,4.640761852264404
1,57,57,57,52,ل,3.3572630882263184
1,58,58,58,53,و,1.973839282989502
1,59,59,59,53,و,1.9018874168395996
1,60,60,60,54,ن,3.5578691959381104
1,61,61,61,54,ن,4.680466651916504
1,62,62,62,54,ن,4.9302802085876465
2,0,0,0,0,م,1.6491435766220093
2,1,1,1,0,م,3.6154284477233887
2,2,2,2,1,ن,4.188414573669434
2,3,3,3,1,ن,1.8475881814956665
2,4,4,4,1,ن,1.6345432996749878
2,5,5,5,2,ا,2.439271926879883
2,6,6,6,3,ل,2.720853567123413
2,7,7,7,4,ك,2.3689074516296387
2,8,8,8,5,ت,3.9360158443450928
2,9,9,9,6,ا,3.5444161891937256
2,10,10,10,7,ب,1.3961477279663086
2,11,11,11,8,و,4.214132308959961
2,12,12,12,9,ا,3.0148751735687256
2,13,13,13,9,ا,3.2560341358184814
2,14,14,14,9,ا,2.8250346183776855
2,15,15,15,10,ل,2.0821950435638428
2,16,16,16,10,ل,1.4281208515167236
2,17,17,17,11,ح,4.284605026245117
2,18,18,18,11,ح,2.067049980163574
2,19,19,19,12,ك,2.491300344467163
2,20,20,20,13,م,2.4093809127807617
2,21,21,21,13,م,3.422053337097168
2,22,22,22,13,م,2.520899772644043
2,23,23,23,14,ة,3.4132494926452637
2,24,24,24,15,ي,1.375941514968872
2,25,25,25,16,ع,4.350755214691162
2,26,26,26,17,ظ,5.328897476196289
2,27,27,27,18,ك,3.5049352645874023
2,28,28,28,18,ك,3.3085129261016846
2,29,29,29,19,م,1.7490187883377075
2,30,30,30,19,م,3.783403158187866
2,31,31,31,19,م,2.621016502380371
2,32,32,32,20,ب,1.3234102725982666
2,33,33,33,21,ه,4.614015579223633
2,34,34,34,22,و,1.1191802024841309
2,35,35,35,22,و,1.4655404090881348
2,36,36,36,22,و,4.513088703155518
2,37,37,37,23,ا,2.5990853309631348
2,38,38,38,24,ت,4.707676410675049
2,39,39,39,25,ق,3.871725082397461
2,40,40,40,26,و,3.1062915325164795
2,41,41,41,27,ا,2.0334677696228027
2,42,42,42,28,ا,1.2473337650299072
2,43,43,43,29,ل,2.3093745708465576
2,44,44,44,30,ل,2.3467965126037598
2,45,45,45,31,ه,3.4986650943756104
2,46,46,46,31,ه,3.8086347579956055
2,47,47,47,32,و,1.9896668195724487
2,48,48,48,32,و,2.1702277660369873
2,49,49,49,33,ا,3.2096917629241943
2,50,50,50,34,ع,1.456762671470642
2,51,51,51,35,ل,4.635679244995117
2,52,52,52,36,م,1.8934247493743896
2,53,53,53,37,و,4.060894966125488
2,54,54,54,38,ا,4.316826343536377
2,55,55,55,39,ا,3.0973031520843506
2,56,56,56,39,ا,1.1057311296463013
2,57,57,57,40,ن,0.23234954476356506
2,58,58,58,40,ن,2.1430959701538086
2,59,59,59,41,ا,3.404024362564087
2,60,60,60,42,ل,2.462223768234253
2,61,61,61,43,ل,3.7250239849090576
2,62,62,62,44,ه,2.7769277095794678
