0.51861393,0.21861394,-0.08138606,-0.38138607,-0.68138605,-0.98138607,-1.28138602,-1.58138597,-1.88138592,-2.18138599,-2.44919586,-2.74919581,-3.04919577,-3.34919572,-3.64919567,-3.94919562,-4.24919558,-4.54919577,-4.84919596,-5.14919615,-5.44919634,-5.74919653,-6.04919672,-6.34919691,-6.64919710,-6.94919729,-7.24919748,-7.54919767,-7.84919786,-8.14919758,-8.44919777,-8.74919796,-9.04919815,-9.34919834,-9.64919853,-9.94919872,-10.24919891,-10.54900551,-10.84900570,-11.14900589,-11.44900608,-11.74900627,-12.04900646,-12.34900665,-12.64900684,-12.94900703,-13.24900723,-13.54900742,-13.84900761,-14.14900780,-14.44900799,-14.74900818,-15.04900837,-15.34900856,-15.64900875,-15.94900894,-16.24900818,-16.54900742,-16.84900665,-17.14900589,-17.44900513,-17.74900436
0.21861394,0.45079640,0.16579458,0.16891113,-0.13108887,-0.43108886,-0.73108888,-1.03108883,-1.33108878,-1.63108873,-1.93108869,-2.23108864,-2.53108859,-2.83108854,-3.13108850,-3.43108845,-3.73108840,-4.03108835,-4.33108854,-4.63108873,-4.93108892,-5.23108912,-5.50150824,-5.80150843,-6.10150862,-6.27561903,-6.57561922,-6.87561941,-7.17561960,-7.47561979,-7.77561998,-8.07561970,-8.37561989,-8.56487846,-8.86487865,-9.16487885,-9.46487904,-9.76487923,-10.06487942,-10.36487961,-10.66487980,-10.96487999,-11.26488018,-11.56488037,-11.86488056,-12.16488075,-12.46488094,-12.76488113,-13.06488132,-13.36488152,-13.66488171,-13.96488190,-14.26488209,-14.56488228,-14.86488247,-15.16488266,-15.46488285,-15.76488304,-16.06488228,-16.36488152,-16.66488075,-16.96487999
-0.08138606,0.15079640,0.37889504,0.12299326,-0.08124956,0.09418185,-0.20581815,-0.50581813,-0.80581814,-1.10581815,-1.40581810,-1.70581806,-2.00581813,-2.30581808,-2.60581803,-2.90581799,-3.20581794,-3.50581789,-3.80581784,-4.08271980,-4.38271999,-4.68272018,-4.77599764,-5.07599783,-5.37599802,-5.67599821,-5.97599840,-6.27599859,-6.57599878,-6.87599897,-7.17599916,-7.47599936,-7.77599955,-8.07503414,-8.26280689,-8.49461079,-8.79461098,-9.09461117,-9.39461136,-9.69461155,-9.99461174,-10.29461193,-10.59461212,-10.89461231,-11.19461250,-11.49461269,-11.79461288,-12.09461308,-12.39461327,-12.69461346,-12.99461365,-13.29461384,-13.59461403,-13.89461422,-14.19461441,-14.49461460,-14.79461479,-15.09461498,-15.39461517,-15.69461536,-15.99461555,-16.29461479
-0.38138607,0.70161426,0.40161425,0.22828002,0.19898212,-0.10101788,0.14532848,-0.13255864,-0.43255866,-0.55795556,-0.85795557,-1.15795553,-1.29820275,-1.59820271,-1.89820266,-1.90291500,-2.20291495,-2.50291491,-2.80291486,-3.10291481,-3.40291476,-3.70291471,-4.00291491,-4.30291510,-4.60291529,-4.90291548,-5.20291567,-5.50291586,-5.80291605,-6.10291624,-6.40291643,-6.70291662,-7.00291681,-7.30291700,-7.60291719,-7.90291739,-8.20291710,-8.50291729,-8.25061607,-8.55061626,-8.85061646,-9.15061665,-9.45061684,-9.75061703,-10.05061722,-10.35061741,-10.65061760,-10.95061779,-11.25061798,-11.55061817,-11.85061836,-12.15061855,-12.45061874,-12.75061893,-13.05061913,-13.35061932,-13.65061951,-13.95061970,-14.25061989,-14.55062008,-14.85062027,-15.15062046
-0.68138605,0.40161425,0.82429028,0.52429026,0.22429027,0.15468532,-0.09603034,0.12605020,-0.17394979,-0.47394979,-0.68527734,-0.98527735,-1.10983562,-1.17634475,-1.47634470,-1.77634466,-1.77780724,-1.74546027,-2.04546022,-2.34546018,-2.64546013,-2.94546008,-3.24546003,-3.54545999,-3.84545994,-4.14546013,-4.44546032,-4.74546051,-5.04546070,-5.34546089,-5.64546108,-5.94546127,-6.24546146,-6.54546165,-6.84546185,-7.14546204,-7.44546223,-7.74546242,-8.04546261,-8.23098850,-8.53098869,-8.83098888,-9.03266048,-9.33266068,-9.63266087,-9.93266106,-10.23266125,-10.43192196,-10.73192215,-11.03192234,-11.33192253,-11.63192272,-11.93192291,-12.23192310,-12.53192329,-12.83192348,-13.13192368,-13.43192387,-13.73192406,-14.03192425,-14.33192444,-14.63192463
-0.98138607,0.10161425,0.52429026,0.83485997,0.94316238,0.64316237,0.68245500,0.38245499,0.57713544,0.27713543,-0.02286457,-0.03319931,-0.33319932,-0.63319933,-0.93319935,-1.23319936,-1.53319931,-1.82795072,-1.52541769,-1.82541764,-2.12541771,-2.42541766,-2.72541761,-3.02541757,-3.32541752,-3.62541747,-3.92541742,-4.22541761,-4.52541780,-4.82541800,-5.11136913,-5.41136932,-5.71136951,-6.01136971,-6.31136990,-6.61137009,-6.91137028,-6.98321724,-7.28321743,-7.58321762,-7.88321781,-8.15508080,-8.45508099,-8.75508118,-9.05508137,-9.35508156,-9.65508175,-9.95508194,-10.25508213,-10.55508232,-10.85508251,-11.15508270,-11.26558971,-11.56558990,-11.86559010,-12.16559029,-12.46559048,-12.76559067,-13.06559086,-13.36559105,-13.66559124,-13.96559143
-1.17850375,-0.19838575,0.44167095,0.84671462,0.99347103,0.93433487,0.63433486,0.60125601,0.46731508,0.63832670,0.97685272,0.67685270,0.37685269,0.07685269,-0.22314730,-0.52314728,-0.82314730,-1.12314725,-1.42314720,-1.43780065,-1.42546034,-1.72546029,-2.02546024,-2.32546020,-2.62546015,-2.92546010,-3.22546005,-3.52546000,-3.82545996,-4.12546015,-4.42546034,-4.72546053,-5.02546072,-5.32546091,-5.62546110,-5.92546129,-6.22546148,-6.24481201,-6.54481220,-6.84481239,-7.14481258,-7.23257303,-7.53257322,-7.83257341,-8.13257313,-8.43257332,-8.73257351,-9.03257370,-9.33257389,-9.63257408,-9.93257427,-10.23257446,-10.48138142,-10.78138161,-11.08138180,-11.38138199,-11.53775215,-11.83775234,-12.13775253,-12.43775272,-12.73775291,-13.03775311
-1.47850370,-0.49838576,0.14917317,0.54671460,0.81887549,0.95722872,0.82763433,0.55382824,0.60553271,0.59165984,0.67685270,0.74655163,0.72511065,0.42511064,0.12511064,-0.15715683,-0.14131117,-0.44131118,-0.74131119,-1.04131114,-1.34131110,-1.38587844,-1.59617186,-1.89617181,-2.19617176,-2.49617171,-2.57993627,-2.87993622,-3.17993617,-3.47993612,-3.77993608,-4.07993603,-4.37993622,-4.67993641,-4.97993660,-5.27993679,-5.56269121,-5.86269140,-6.16269159,-6.46269178,-6.76269197,-7.06269217,-7.07258368,-7.37258387,-7.67258406,-7.97258425,-8.27258396,-8.57258415,-8.87258434,-9.12601566,-9.42601585,-9.72601604,-10.02601624,-10.32601643,-10.62601662,-10.92601681,-11.22601700,-11.52601719,-11.82601738,-12.02597046,-12.25239468,-12.52229500
-1.77850366,-0.79838574,-0.15082683,0.24671461,0.53410316,0.72509331,0.88679707,0.79037976,0.49037975,0.86274290,0.56274289,0.65183932,1.02335572,0.72335571,0.42335570,0.58942163,0.28942162,-0.01057838,-0.31057838,-0.61057836,-0.91057837,-0.92837173,-1.22837174,-1.52837169,-1.82837164,-2.12837172,-2.42837167,-2.72837162,-3.02837157,-3.28775549,-3.58775544,-3.67744398,-3.97744393,-4.23629761,-4.53629780,-4.69601727,-4.99601746,-5.29601765,-5.34339809,-5.64339828,-5.94339848,-6.24339867,-6.54339886,-6.84339905,-7.14339924,-7.44339943,-7.74339962,-8.04339981,-8.34340000,-8.64340019,-8.52404308,-8.82404327,-9.12404346,-9.42404366,-9.72404385,-10.02404404,-10.32404423,-10.62404442,-10.92404461,-11.22404480,-11.52404499,-11.82404518
-2.07850361,-1.09838569,-0.45082682,0.13056861,0.31626272,0.60874283,0.72113192,0.78249961,0.73764151,0.65075159,1.23562872,0.93562871,0.72335571,1.02115119,0.80982935,0.50982934,0.59728652,0.29728651,0.26507926,-0.03492074,-0.16369504,-0.46369505,-0.76369506,-1.06369507,-1.30535698,-1.60535693,-1.90535688,-2.20535684,-2.50535679,-2.80535674,-3.10535669,-3.35774374,-3.65774369,-3.86722660,-4.16722679,-4.46722698,-4.64958382,-4.62362003,-4.92362022,-5.17010403,-5.47010422,-5.69230652,-5.99230671,-6.08080435,-6.38080454,-6.68080473,-6.98080492,-7.28080511,-7.58080530,-7.88080549,-8.18080521,-8.48080540,-8.47809601,-8.77809620,-9.07809639,-9.37809658,-9.67809677,-9.97809696,-10.27809715,-10.57809734,-10.87809753,-11.17809772
