side,step,valid_window_index,physical_window_index,letter_index,letter,cost
1,0,0,8,0,ا,4.096043586730957
1,1,1,9,1,ذ,5.060147762298584
1,2,2,10,2,ا,2.8948564529418945
1,3,3,11,3,س,3.0564846992492676
1,4,4,12,4,ل,3.5178284645080566
1,5,5,13,4,ل,0.8711196184158325
1,6,6,14,5,م,3.486835479736328
1,7,7,15,6,ت,2.6130199432373047
1,8,7,15,7,م,2.2316246032714844
1,9,7,15,8,م,2.228846788406372
1,10,8,16,9,ا,5.113649368286133
1,11,9,17,10,ا,4.819793224334717
1,12,10,18,11,ت,2.093712568283081
1,13,11,19,12,ي,4.732015132904053
1,14,12,20,13,ت,2.569606304168701
1,15,13,21,14,م,3.081387996673584
1,16,14,22,15,ب,1.4719593524932861
1,17,15,23,16,ا,3.8423750400543213
1,18,15,23,17,ل,4.202176570892334
1,19,15,23,18,م,3.0344865322113037
1,20,15,23,19,ع,3.6028494834899902
1,21,16,24,20,ر,1.5311460494995117
1,22,17,25,21,و,2.197486639022827
1,23,17,25,22,ف,3.9689559936523438
1,24,17,25,23,و,2.2030422687530518
1,25,18,26,24,ا,4.199159145355225
1,26,19,27,25,ت,3.600546360015869
1,27,20,28,26,ق,4.418581008911133
1,28,21,29,27,و,4.668753147125244
1,29,22,30,28,ا,1.011237621307373
1,30,22,30,29,ا,1.0140154361724854
1,31,23,31,30,ل,4.518693923950195
1,32,24,32,31,ل,3.4518775939941406
1,33,24,32,32,ه,3.2391140460968018
1,34,24,32,33,و,4.218539237976074
1,35,25,33,34,ا,2.8783421516418457
1,36,26,34,35,ع,5.1525726318359375
1,37,27,35,36,ل,2.3811659812927246
1,38,28,36,37,م,5.489672660827637
1,39,29,37,38,و,3.2930281162261963
1,40,30,38,39,ا,4.593291759490967
1,41,31,39,40,ا,4.611482620239258
1,42,32,40,41,ن,4.574630260467529
1,43,33,41,42,ا,0.6124032139778137
1,44,34,42,43,ل,1.7187989950180054
1,45,35,43,44,ل,3.0072553157806396
1,46,36,44,45,ه,3.6988162994384766
1,47,37,45,46,ب,4.8306074142456055
1,48,38,46,47,م,1.5944725275039673
1,49,38,46,48,ا,2.8543853759765625
1,50,39,47,49,ت,3.5933516025543213
1,51,40,48,50,ع,2.615919828414917
1,52,41,49,51,م,3.1769955158233643
1,53,42,50,52,ل,5.188394069671631
1,54,43,51,53,و,1.1833419799804688
1,55,44,52,54,ن,2.4757189750671387
1,56,45,53,54,ن,4.659501552581787
1,57,46,54,54,ن,4.571320533752441
2,0,0,6,0,م,3.284721851348877
2,1,1,7,0,م,3.493954658508301
2,2,2,8,0,م,1.4325155019760132
2,3,3,9,1,ن,2.387709379196167
2,4,4,10,2,ا,4.129497051239014
2,5,5,11,3,ل,1.9425338506698608
2,6,6,12,4,ك,3.4737610816955566
2,7,7,13,5,ت,4.527905464172363
2,8,8,14,6,ا,2.1973679065704346
2,9,9,15,7,ب,0.5468271970748901
2,10,10,16,8,و,3.783564329147339
2,11,11,17,9,ا,5.483837604522705
2,12,12,18,10,ل,0.882826566696167
2,13,13,19,11,ح,3.6946663856506348
2,14,14,20,12,ك,0.5027992129325867
2,15,15,21,12,ك,1.9716131687164307
2,16,16,22,12,ك,0.3885696828365326
2,17,17,23,13,م,3.158994197845459
2,18,18,24,14,ة,1.9359474182128906
2,19,19,25,15,ي,1.4536670446395874
2,20,20,26,16,ع,3.7023496627807617
2,21,21,27,17,ظ,2.8247780799865723
2,22,22,28,18,ك,3.3372292518615723
2,23,23,29,19,م,5.557712078094482
2,24,24,30,20,ب,3.9878947734832764
2,25,25,31,21,ه,2.994621515274048
2,26,26,32,22,و,5.852580547332764
2,27,27,33,23,ا,1.6011958122253418
2,28,28,34,24,ت,3.0388736724853516
2,29,29,35,24,ت,2.389364004135132
2,30,30,36,25,ق,2.035891532897949
2,31,31,37,26,و,4.030361652374268
2,32,32,38,27,ا,3.2585792541503906
2,33,33,39,28,ا,2.482227087020874
2,34,34,40,29,ل,0.9676334857940674
2,35,35,41,30,ل,1.7431026697158813
2,36,36,42,31,ه,2.6877026557922363
2,37,37,43,32,و,0.9772511124610901
2,38,38,44,33,ا,3.4560301303863525
2,39,39,45,34,ع,5.634609222412109
2,40,40,46,35,ل,4.376543998718262
2,41,41,47,36,م,4.50830078125
2,42,42,48,37,و,2.5144546031951904
2,43,43,49,38,ا,1.4643430709838867
2,44,44,50,39,ا,3.130303382873535
2,45,45,51,40,ن,3.420872211456299
2,46,46,52,40,ن,2.719632387161255
2,47,47,53,41,ا,1.933160662651062
2,48,48,54,42,ل,2.7312612533569336
2,49,49,55,43,ل,1.4534552097320557
2,50,50,56,44,ه,3.015561819076538
