representation,metric,count,mean,median
local,normalized_nw_score,3,0.30555613583357877,0.3371194203694661
local,mean_path_cosine,3,0.4947815866845071,0.42745687122472
local,mean_mask_iou,3,0.49263388344428005,0.45653515624999996
local,path_cosine_margin,3,0.16880470827988972,0.08112777824528883
local,path_cosine_z,3,1.2363688536261508,0.5987698831791433
local,component_count,3,1.3333333333333333,1.0
local,gap_steps,3,18.666666666666668,20.0
context,normalized_nw_score,3,0.1689081898442021,0.1770408418443468
context,mean_path_cosine,3,0.36133387724526217,0.28556695414914024
context,mean_mask_iou,3,0.48909631513826907,0.45166015625
context,path_cosine_margin,3,0.24526502976782616,0.1519150419367684
context,path_cosine_z,3,1.4138996336229932,0.9726209007104616
context,component_count,3,1.3333333333333333,1.0
context,gap_steps,3,19.333333333333332,20.0
fused,normalized_nw_score,3,0.1685377201706013,0.1857706100221664
fused,mean_path_cosine,3,0.4651499460440536,0.36211065049557123
fused,mean_mask_iou,3,0.5434328970804554,0.5007683658170914
fused,path_cosine_margin,3,0.42630092132108005,0.31191330622224245
fused,path_cosine_z,3,1.883800630632482,1.3744420817549101
fused,component_count,3,2.3333333333333335,2.0
fused,gap_steps,3,24.0,30.0
fused_wrong_context,normalized_nw_score,3,0.06205526861564192,0.048312769995795354
fused_wrong_context,mean_path_cosine,3,0.3102570702089781,0.31434071706607936
fused_wrong_context,mean_mask_iou,3,0.47225594093419754,0.4740011581394553
fused_wrong_context,path_cosine_margin,3,0.2625787051472976,0.2546891559846699
fused_wrong_context,path_cosine_z,3,1.2558896131018455,1.0320725070354582
fused_wrong_context,component_count,3,1.6666666666666667,2.0
fused_wrong_context,gap_steps,3,21.333333333333332,22.0
