representation,metric,count,mean,median
local,normalized_primary_score,3,0.41627222126042823,0.4242708759923135
local,normalized_nw_score,3,0.08151125937781088,0.007478678157563844
local,mean_path_cosine,3,0.42960993756541216,0.43614422004730974
local,mean_mask_iou,3,0.4309045633393012,0.5525613856630217
local,path_cosine_margin,3,0.04344573924629495,0.03956624739445175
local,path_cosine_z,3,0.3875525368655499,0.3470229709740035
local,component_count,3,1.0,1.0
local,gap_steps,3,93.0,104.0
context,normalized_primary_score,3,0.2233364728083805,0.21260482525003369
context,normalized_nw_score,3,0.014341787103305437,-0.03001410974932544
context,mean_path_cosine,3,0.29192944523015973,0.2911232573290666
context,mean_mask_iou,3,0.42308718832621506,0.5140044290642948
context,path_cosine_margin,3,0.13431940631388983,0.13282388572891551
context,path_cosine_z,3,0.7747992467383434,0.7703159421151546
context,component_count,3,1.3333333333333333,1.0
context,gap_steps,3,93.0,104.0
fused,normalized_primary_score,3,0.16726727004459632,0.16749718382551865
fused,normalized_nw_score,3,-0.008063148139416885,-0.041489744462029784
fused,mean_path_cosine,3,0.3238969607939008,0.3225562237203121
fused,mean_mask_iou,3,0.5398487667132099,0.5138100076480674
fused,path_cosine_margin,3,0.2827742076207879,0.25393905863165855
fused,path_cosine_z,3,1.2790649743423363,1.124861494982236
fused,component_count,3,2.0,2.0
fused,gap_steps,3,95.0,106.0
fused_wrong_context,normalized_primary_score,3,0.15050486260889281,0.15787591200608472
fused_wrong_context,normalized_nw_score,3,-0.020861497287863625,-0.06640468160790133
fused_wrong_context,mean_path_cosine,3,0.30709403600647217,0.29826275368507665
fused_wrong_context,mean_mask_iou,3,0.35555859486662467,0.4564972507163626
fused_wrong_context,path_cosine_margin,3,0.26089837063207394,0.267268895637244
fused_wrong_context,path_cosine_z,3,1.272407667459443,1.3369829775571485
fused_wrong_context,component_count,3,2.3333333333333335,2.0
fused_wrong_context,gap_steps,3,95.0,104.0
