-0.05296648,-0.35296649,-0.65296650,-0.71805573,-0.68680519,-0.98680520,-1.28680515,-1.58680511,-1.88680506,-2.18680501,-2.48680496,-2.78680491,-3.08680487,-3.38680482,-3.68680477,-3.98680472,-4.28680468,-4.58680487,-4.88680506,-5.18680525,-5.48680544,-5.78680563,-6.08680582,-6.38680601,-6.68680620,-6.98680639,-7.28680658,-7.58680677,-7.88680696,-8.18680668,-8.48680687,-8.78680706,-9.08680725,-9.38680744,-9.68680763,-9.98680782,-10.28680801,-10.58680820,-10.88680840,-11.18680859,-11.48680878,-11.78680897,-12.08680916,-12.38680935,-12.68680954,-12.98680973,-13.28680992,-13.58681011,-13.88681030,-14.18681049,-14.48681068,-14.78681087,-15.04796791,-15.34796810,-15.64796829,-15.94796848,-16.24796867,-16.54796791,-16.84796715,-17.14796638,-17.44796562,-17.74796486,-18.04796410,-18.34796333,-18.64796257,-18.94796181,-19.24796104,-19.54796028,-19.84795952,-20.14795876,-20.44795799,-20.74795723,-21.04795647,-21.34795570,-21.64795494,-21.94795418,-22.24795341,-22.54795265,-22.84795189,-23.14795113,-23.44795036,-23.74794960,-24.04794884,-24.34794807,-24.64794731,-24.94794655,-25.24794579,-25.54794502,-25.84794426,-26.14794350,-26.44794273,-26.74794197,-27.04794121,-27.34794044,-27.64793968,-27.94793892,-28.24793816,-28.54793739,-28.84793663,-29.14793587,-29.44793510,-29.74793434,-30.04793358,-30.34793282,-30.64793205,-30.94793129,-31.24793053,-31.54792976,-31.84792900,-32.14793015,-32.44792938,-32.74792862,-33.04792786,-33.34792709,-33.64792633,-33.94792557,-34.24792480,-34.54792404,-34.84792328,-35.14792252,-35.44792175,-35.74792099,-36.04792023,-36.34791946,-36.64791870,-36.94791794,-37.24791718,-37.54791641,-37.84791565,-38.14791489,-38.44791412,-38.74791336,-39.04791260,-39.34791183,-39.64791107,-39.94791031,-40.24790955,-40.54790878,-40.84790802,-41.14790726,-41.44790649,-41.74790573,-42.04790497,-42.34790421,-42.64790344,-42.94790268,-43.24790192,-43.54790115,-43.84790039,-44.14789963,-44.44789886,-44.74789810,-45.04789734,-45.34789658,-45.64789581,-45.94789505,-46.24789429,-46.54789352,-46.84789276,-47.14789200,-47.44789124,-47.74789047,-48.04788971,-48.34788895,-48.64788818,-48.94788742
-0.29060042,0.03796321,-0.26203680,-0.56203681,-0.86203682,-0.74080777,-1.00973678,-1.30973673,-1.55174470,-1.85174465,-1.77939272,-2.07939267,-2.30323124,-2.60323119,-2.90323114,-3.20323110,-3.50323105,-3.80323100,-4.10323095,-4.40323114,-4.70323133,-5.00323153,-5.30323172,-5.60323191,-5.90323210,-6.20323229,-6.50323248,-6.80323267,-7.10323286,-7.40323305,-7.70323324,-8.00323296,-8.30323315,-8.60323334,-8.90323353,-9.20323372,-9.50323391,-9.80323410,-10.10323429,-10.40323448,-10.70323467,-11.00323486,-11.30323505,-11.60323524,-11.90323544,-12.20323563,-12.50323582,-12.80323601,-13.10323620,-13.40323639,-13.70323658,-14.00323677,-14.30323696,-14.60323715,-14.90323734,-15.20323753,-15.50323772,-15.80323792,-16.10323715,-16.40323639,-16.70323563,-17.00323486,-17.30323410,-17.60323334,-17.90323257,-18.20323181,-18.50323105,-18.80323029,-19.10322952,-19.40322876,-19.70322800,-20.00322723,-20.30322647,-20.60322571,-20.90322495,-21.20322418,-21.50322342,-21.80322266,-22.10322189,-22.40322113,-22.70322037,-23.00321960,-23.30321884,-23.60321808,-23.90321732,-24.20321655,-24.50321579,-24.80321503,-25.10321426,-25.40321350,-25.70321274,-26.00321198,-26.30321121,-26.60321045,-26.90320969,-27.20320892,-27.50320816,-27.80320740,-28.10320663,-28.40320587,-28.70320511,-29.00320435,-29.30320358,-29.60320282,-29.90320206,-30.20320129,-30.50320053,-30.80319977,-31.10319901,-31.40319824,-31.70319748,-32.00319672,-32.30319595,-32.60319519,-32.90319443,-33.20319366,-33.50319290,-33.80319214,-34.10319138,-34.40319061,-34.70318985,-35.00318909,-35.30318832,-35.60318756,-35.90318680,-36.20318604,-36.50318527,-36.80318451,-37.10318375,-37.40318298,-37.70318222,-38.00318146,-38.30318069,-38.60317993,-38.90317917,-39.20317841,-39.50317764,-39.80317688,-40.10317612,-40.40317535,-40.70317459,-41.00317383,-41.30317307,-41.60317230,-41.90317154,-42.20317078,-42.50317001,-42.80316925,-43.10316849,-43.40316772,-43.70316696,-44.00316620,-44.30316544,-44.60316467,-44.90316391,-45.20316315,-45.50316238,-45.80316162,-46.10316086,-46.40316010,-46.70315933,-47.00315857,-47.30315781,-47.60315704,-47.90315628,-48.20315552
-0.21269020,-0.09763825,0.05304249,-0.24695751,-0.54695749,-0.68678433,-0.71628469,-1.01628470,-1.15625679,-1.45625675,-1.68197453,-1.90739512,-2.19605613,-2.13393378,-2.43393373,-2.73393369,-2.94688344,-3.24688339,-3.54688334,-3.84688330,-4.14688349,-4.44688368,-4.74688387,-5.04688406,-5.34688425,-5.64688444,-5.94688463,-6.24688482,-6.54688501,-6.79295015,-7.09295034,-7.39295053,-7.69295073,-7.99295092,-8.29295063,-8.59295082,-8.89295101,-9.19295120,-9.49295139,-9.79295158,-10.09295177,-10.39295197,-10.69295216,-10.99295235,-11.29295254,-11.59295273,-11.89295292,-12.19295311,-12.49295330,-12.79295349,-13.09295368,-13.39295387,-13.69295406,-13.99295425,-14.29295444,-14.59295464,-14.80393124,-15.10393143,-15.40393162,-15.70393181,-16.00393105,-16.30393028,-16.60392952,-16.90392876,-17.20392799,-17.50392723,-17.80392647,-18.10392570,-18.40392494,-18.70392418,-19.00392342,-19.30392265,-19.60392189,-19.90392113,-20.20392036,-20.50391960,-20.80391884,-21.10391808,-21.40391731,-21.70391655,-22.00391579,-22.30391502,-22.60391426,-22.90391350,-23.20391273,-23.50391197,-23.80391121,-24.10391045,-24.40390968,-24.70390892,-25.00390816,-25.30390739,-25.60390663,-25.90390587,-26.20390511,-26.50390434,-26.80390358,-27.10390282,-27.40390205,-27.70390129,-28.00390053,-28.30389977,-28.60389900,-28.90389824,-29.20389748,-29.50389671,-29.80389595,-30.10389519,-30.40389442,-30.70389366,-31.00389290,-31.30389214,-31.60389137,-31.90389061,-32.20389175,-32.50389099,-32.80389023,-33.10388947,-33.40388870,-33.70388794,-34.00388718,-34.30388641,-34.60388565,-34.90388489,-35.20388412,-35.50388336,-35.80388260,-36.10388184,-36.40388107,-36.70388031,-37.00387955,-37.30387878,-37.60387802,-37.90387726,-38.20387650,-38.50387573,-38.80387497,-39.10387421,-39.40387344,-39.70387268,-40.00387192,-40.30387115,-40.60387039,-40.90386963,-41.20386887,-41.50386810,-41.80386734,-42.10386658,-42.40386581,-42.70386505,-43.00386429,-43.30386353,-43.60386276,-43.90386200,-44.20386124,-44.50386047,-44.80385971,-45.10385895,-45.40385818,-45.70385742,-46.00385666,-46.30385590,-46.60385513,-46.90385437,-47.20385361,-47.50385284
-0.51269019,-0.39763826,0.15123679,-0.14876321,-0.43913069,-0.47640783,-0.56971711,-0.86971712,-0.75420022,-1.03429151,-1.33429146,-1.63429141,-1.90333998,-2.17566943,-2.08591676,-2.24153566,-2.54153562,-2.84153557,-2.94278026,-3.24278021,-3.54278016,-3.84278011,-3.98936224,-4.28936243,-4.58936262,-4.88936281,-5.18936300,-5.48936319,-5.78936338,-6.08936357,-6.38936377,-6.68936396,-6.98936415,-7.28936434,-7.58936453,-7.88936472,-8.18936443,-8.48936462,-8.78936481,-9.08936501,-9.38936520,-9.68936539,-9.98936558,-10.28936577,-10.58936596,-10.88936615,-11.18936634,-11.48936653,-11.78936672,-12.08936691,-12.38936710,-12.68936729,-12.98936749,-13.23738384,-13.53738403,-13.83738422,-14.13738441,-14.43738461,-14.73738480,-14.89624500,-15.19624519,-15.49624538,-15.79624557,-16.09624481,-16.39624405,-16.69624329,-16.99624252,-17.29624176,-17.59624100,-17.89624023,-18.19623947,-18.49623871,-18.79623795,-19.09623718,-19.39623642,-19.69623566,-19.99623489,-20.29623413,-20.59623337,-20.89623260,-21.19623184,-21.49623108,-21.79623032,-22.09622955,-22.39622879,-22.69622803,-22.99622726,-23.29622650,-23.59622574,-23.89622498,-24.19622421,-24.49622345,-24.79622269,-25.09622192,-25.39622116,-25.69622040,-25.99621964,-26.29621887,-26.59621811,-26.89621735,-27.19621658,-27.49621582,-27.79621506,-28.09621429,-28.39621353,-28.69621277,-28.99621201,-29.29621124,-29.59621048,-29.89620972,-30.19620895,-30.49620819,-30.79620743,-31.09620667,-31.39620590,-31.69620514,-31.99620438,-32.29620361,-32.59620285,-32.89620209,-33.19620132,-33.49620056,-33.79619980,-34.09619904,-34.39619827,-34.69619751,-34.99619675,-35.29619598,-35.59619522,-35.89619446,-36.19619370,-36.49619293,-36.79619217,-37.09619141,-37.39619064,-37.69618988,-37.99618912,-38.22730637,-38.52730560,-38.82730484,-39.12730408,-39.42730331,-39.72730255,-40.02730179,-40.32730103,-40.62730026,-40.92729950,-41.22729874,-41.52729797,-41.82729721,-42.12729645,-42.42729568,-42.72729492,-43.02729416,-43.32729340,-43.62729263,-43.92729187,-44.22729111,-44.52729034,-44.82728958,-45.12728882,-45.42728806,-45.72728729,-46.02728653,-46.32728577,-46.62728500
-0.81269020,-0.48231706,-0.14876321,-0.20388599,-0.41295686,-0.25210902,-0.55210900,-0.85210901,-0.20969588,-0.41556445,-0.71556443,-1.01556444,-1.31556439,-1.61556435,-1.88336873,-1.87486565,-1.74844289,-2.04844284,-2.34844279,-2.64844275,-2.94844270,-3.24844265,-3.39612246,-3.46124506,-3.76124501,-4.06124496,-4.36124516,-4.66124535,-4.96124554,-5.26124573,-5.56124592,-5.86124611,-6.16124630,-6.46124649,-6.76124668,-7.06124687,-7.36124706,-7.66124725,-7.96124744,-8.26124763,-8.56124783,-8.86124802,-9.16124821,-9.46124840,-9.76124859,-10.06124878,-10.36124897,-10.66124916,-10.96124935,-11.26124954,-11.56124973,-11.86124992,-12.16125011,-12.46125031,-12.76125050,-13.06125069,-13.36125088,-13.66125107,-13.96125126,-14.26125145,-14.56125164,-14.86125183,-15.16125202,-15.46125221,-15.76125240,-16.06125259,-16.36125183,-16.66125107,-16.96125031,-17.26124954,-17.56124878,-17.86124802,-18.16124725,-18.46124649,-18.76124573,-19.06124496,-19.36124420,-19.66124344,-19.96124268,-20.26124191,-20.22974777,-20.52974701,-20.82974625,-21.12974548,-21.42974472,-21.72974396,-22.02974319,-22.32974243,-22.62974167,-22.92974091,-23.22974014,-23.52973938,-23.82973862,-24.12973785,-24.42973709,-24.72973633,-24.99243927,-25.29243851,-25.59243774,-25.89243698,-26.19243622,-26.49243546,-26.79243469,-27.09243393,-27.39243317,-27.69243240,-27.99243164,-28.29243088,-28.59243011,-28.89242935,-29.19242859,-29.49242783,-29.79242706,-30.09242630,-30.39242554,-30.69242477,-30.99242401,-31.29242325,-31.59242249,-31.89242172,-32.19242096,-32.49242020,-32.79241943,-33.09241867,-33.39241791,-33.69241714,-33.99241638,-34.29241562,-34.59241486,-34.89241409,-35.19241333,-35.49241257,-35.79241180,-36.09241104,-36.39241028,-36.69240952,-36.99240875,-37.29240799,-37.59240723,-37.89240646,-38.19240570,-38.49240494,-38.79240417,-39.09240341,-39.39240265,-39.69240189,-39.99240112,-40.29240036,-40.59239960,-40.89239883,-41.19239807,-41.49239731,-41.79239655,-42.09239578,-42.39239502,-42.69239426,-42.99239349,-43.27939224,-43.57939148,-43.87939072,-44.17938995,-44.47938919,-44.77938843,-45.07938766,-45.37938690,-45.67938614
-1.11269021,-0.78231704,-0.44876322,-0.37478340,-0.47193706,-0.15489170,-0.33420765,-0.63420767,-0.47672021,-0.18777303,-0.34148803,-0.64148802,-0.94148803,-1.00544870,-1.30544865,-1.60544860,-1.66910696,-1.85499692,-2.15499687,-2.36822271,-2.66822267,-2.96822262,-3.02924323,-2.94297934,-3.24297929,-3.54297924,-3.84297919,-4.14297915,-4.44297934,-4.74297953,-5.04297972,-5.34297991,-5.64298010,-5.94298029,-6.24298048,-6.54298067,-6.84298086,-7.14298105,-7.44298124,-7.74298143,-7.83182430,-8.13182449,-8.43182468,-8.73182487,-9.03182507,-9.33182526,-9.63182545,-9.93182564,-10.23182583,-10.53182602,-10.83182621,-11.13182640,-11.43182659,-11.73182678,-12.03182697,-12.33182716,-12.63182735,-12.93182755,-13.23182774,-13.53182793,-13.83182812,-14.13182831,-14.43182850,-14.73182869,-15.03182888,-15.33182907,-15.63182926,-15.93182945,-16.23182869,-16.53182793,-16.83182716,-17.13182640,-17.43182564,-17.73182487,-18.03182411,-18.33182335,-18.63182259,-18.93182182,-19.23182106,-19.53182030,-19.64934349,-19.92993736,-20.22993660,-20.52993584,-20.75194931,-21.05194855,-21.35194778,-21.65194702,-21.95194626,-22.25194550,-22.55194473,-22.85194397,-23.15194321,-23.45194244,-23.75194168,-24.04084206,-24.23997307,-24.53997231,-24.83997154,-25.13997078,-25.43997002,-25.73996925,-26.03996849,-26.33996773,-26.63996696,-26.93996620,-27.23996544,-27.53996468,-27.83996391,-28.13996315,-28.43996239,-28.73996162,-29.03996086,-29.33996010,-29.63995934,-29.93995857,-30.23995781,-30.53995705,-30.83995628,-31.13995552,-31.43995476,-31.73995399,-32.03995514,-32.33995438,-32.63995361,-32.93995285,-33.23995209,-33.53995132,-33.83995056,-34.13994980,-34.43994904,-34.73994827,-35.03994751,-35.33994675,-35.63994598,-35.93994522,-36.23994446,-36.53994370,-36.83994293,-37.13994217,-37.43994141,-37.73994064,-38.03993988,-38.33993912,-38.63993835,-38.93993759,-39.23993683,-39.53993607,-39.83993530,-40.13993454,-40.43993378,-40.73993301,-41.03993225,-41.33993149,-41.63993073,-41.93992996,-42.23992920,-42.53109360,-42.83109283,-43.01974487,-43.31974411,-43.61974335,-43.91974258,-44.21974182,-44.51974106,-44.81974030
-1.41269016,-1.08231699,-0.73257363,-0.33958334,-0.33356732,-0.18146959,-0.14440942,-0.20786944,-0.50786942,-0.48777303,-0.31268406,-0.46947423,-0.76947421,-1.06947422,-1.15717483,-1.14321291,-1.44321287,-1.44167697,-1.61520028,-1.91520023,-2.21520019,-2.51520014,-2.81520009,-2.91504741,-2.93008804,-3.23008800,-3.43679190,-3.66792464,-3.90595126,-4.20595121,-4.50595140,-4.80595160,-5.10595179,-5.40595198,-5.70595217,-6.00595236,-6.30595255,-6.60595274,-6.90595293,-7.20595312,-7.50595331,-7.80595350,-8.10595322,-8.18698215,-8.48698235,-8.78698254,-9.08698273,-9.38698292,-9.68698311,-9.98698330,-10.28698349,-10.58698368,-10.88698387,-11.18698406,-11.48698425,-11.78698444,-12.08698463,-12.38698483,-12.68698502,-12.98698521,-13.28698540,-13.58698559,-13.88698578,-14.18698597,-14.48698616,-14.78698635,-15.08698654,-15.38698673,-15.68698692,-15.98698711,-16.28698730,-16.58698654,-16.88698578,-17.18698502,-17.48698425,-17.78698349,-18.08698273,-18.38698196,-18.68698120,-18.98698044,-19.28697968,-19.58697891,-19.70792770,-20.00792694,-20.30792618,-20.60792542,-20.90792465,-20.92920494,-21.22920418,-21.52920341,-21.82920265,-22.12920189,-22.42920113,-22.72920036,-23.02919960,-23.32919884,-23.62919807,-23.86941719,-24.16941643,-24.46941566,-24.76941490,-25.06941414,-25.36941338,-25.66941261,-25.96941185,-26.26941109,-26.56941032,-26.86940956,-27.16940880,-27.46940804,-27.76940727,-28.06940651,-28.36940575,-28.66940498,-28.96940422,-29.26940346,-29.56940269,-29.86940193,-30.16940117,-30.46940041,-30.76939964,-31.06939888,-31.36939812,-31.66939735,-31.96939659,-32.26939774,-32.56939697,-32.86939621,-33.16939545,-33.46939468,-33.76939392,-34.06939316,-34.36939240,-34.66939163,-34.96939087,-35.26939011,-35.56938934,-35.86938858,-36.16938782,-36.46938705,-36.76938629,-37.06938553,-37.36938477,-37.66938400,-37.96938324,-38.26938248,-38.56938171,-38.86938095,-39.16938019,-39.46937943,-39.76937866,-40.06937790,-40.36937714,-40.66937637,-40.96937561,-41.26937485,-41.56937408,-41.86937332,-42.16937256,-42.46937180,-42.76937103,-43.06937027,-43.36936951,-43.66936874,-43.96936798,-44.26936722
-1.71269011,-1.38231695,-0.98875439,-0.24768233,0.03622437,-0.26377565,-0.06803095,0.32097295,0.02097295,-0.27902704,-0.57902706,-0.36956123,-0.66956121,-0.96734548,-1.22737253,-1.07454705,-1.37454700,-1.04664993,-1.15020633,-1.45020628,-1.75020623,-1.80651534,-2.10651541,-2.40651536,-2.70651531,-3.00651526,-3.30651522,-3.26510978,-3.49843550,-3.79843545,-4.09843540,-4.26164579,-4.56164598,-4.86164618,-5.16164637,-5.44615936,-5.74615955,-5.90881014,-6.20881033,-6.50881052,-6.80881071,-7.10881090,-7.40881109,-7.70881128,-7.96036625,-8.20309448,-8.50309467,-8.80309486,-9.10309505,-9.40309525,-9.70309544,-10.00309563,-10.27858353,-10.57858372,-10.87858391,-11.17858410,-11.47858429,-11.77858448,-12.07858467,-12.37858486,-12.67858505,-12.97858524,-13.27858543,-13.57858562,-13.87858582,-14.17858601,-14.47858620,-14.77858639,-15.07858658,-15.37858677,-15.67858696,-15.97858715,-16.27858734,-16.55645370,-16.85645294,-17.15645218,-17.30276299,-17.60276222,-17.90276146,-18.20276070,-18.50275993,-18.80275917,-19.10275841,-19.40275764,-19.70275688,-20.00275612,-20.30275536,-20.60275459,-20.90275383,-21.20275307,-21.44838524,-21.74838448,-21.79619598,-22.06526947,-22.36526871,-22.66526794,-22.96526718,-23.25665474,-23.33282661,-23.63282585,-23.93282509,-24.23282433,-24.53282356,-24.83282280,-25.13282204,-25.43282127,-25.73282051,-26.03281975,-26.33281898,-26.63281822,-26.93281746,-27.23281670,-27.53281593,-27.83281517,-28.13281441,-28.43281364,-28.73281288,-29.03281212,-29.33281136,-29.63281059,-29.93280983,-30.23280907,-30.53280830,-30.83280754,-31.13280678,-31.43280602,-31.73280525,-32.03280640,-32.33280563,-32.63280487,-32.93280411,-33.23280334,-33.53280258,-33.83280182,-34.13280106,-34.43280029,-34.73279953,-35.03279877,-35.33279800,-35.63279724,-35.93279648,-36.23279572,-36.53279495,-36.83279419,-37.13279343,-37.43279266,-37.73279190,-38.03279114,-38.33279037,-38.63278961,-38.93278885,-39.23278809,-39.53278732,-39.83278656,-40.13278580,-40.43278503,-40.73278427,-41.03278351,-41.33278275,-41.63278198,-41.93278122,-42.23278046,-42.53277969,-42.83277893,-43.13277817,-43.43277740
-2.01269007,-1.68231690,-1.26456177,-0.54768234,-0.26377565,0.12708879,0.13951954,0.02097295,0.01156816,-0.20046116,-0.37071738,-0.31272817,-0.26707631,-0.56707633,-0.86707634,-1.16707635,-1.22455394,-1.34664989,-0.96003258,-1.26003253,-1.51254308,-1.81254303,-1.80872476,-2.10872483,-2.40872478,-2.70872474,-3.00872469,-3.30872464,-3.52219105,-3.33468175,-3.63468170,-3.93468165,-4.23468161,-4.53468180,-4.83468199,-5.13468218,-5.19182730,-5.49182749,-5.50482798,-5.80482817,-6.10482836,-6.40482855,-6.70482874,-7.00482893,-7.30482912,-7.60482931,-7.90482950,-8.20482922,-8.50482941,-8.80482960,-8.91164112,-9.21164131,-9.51164150,-9.81164169,-10.11164188,-10.41164207,-10.71164227,-11.01164246,-11.31164265,-11.61164284,-11.91164303,-12.21164322,-12.51164341,-12.81164360,-13.11164379,-13.41164398,-13.71164417,-14.01164436,-14.31164455,-14.61164474,-14.91164494,-15.21164513,-15.51164532,-15.81164551,-16.11164474,-16.41164398,-16.71164322,-17.01164246,-17.31164169,-17.61164093,-17.91164017,-18.21163940,-18.51163864,-18.81163788,-19.11163712,-19.41163635,-19.68165016,-19.98164940,-20.28164864,-20.58164787,-20.88164711,-21.18164635,-21.48164558,-21.78164482,-22.00984764,-22.30984688,-22.60984612,-22.90984535,-23.20984459,-23.50984383,-23.72134781,-24.02134705,-24.23587990,-24.37101364,-24.67101288,-24.97101212,-25.27101135,-25.57101059,-25.87100983,-26.17100906,-26.47100830,-26.77100754,-27.07100677,-27.22240067,-27.52239990,-27.82239914,-28.12239838,-28.42239761,-28.72239685,-29.02239609,-29.32239532,-29.62239456,-29.92239380,-30.22239304,-30.52239227,-30.82239151,-31.12239075,-31.42238998,-31.72238922,-32.02238846,-32.32238770,-32.62238693,-32.92238617,-33.22238541,-33.52238464,-33.82238388,-34.12238312,-34.42238235,-34.72238159,-34.96477127,-35.26477051,-35.56476974,-35.86476898,-36.16476822,-36.46476746,-36.76476669,-37.06476593,-37.36476517,-37.66476440,-37.96476364,-38.26476288,-38.56476212,-38.86476135,-39.16476059,-39.46475983,-39.76475906,-40.06475830,-40.36475754,-40.66475677,-40.96475601,-41.26475525,-41.56475449,-41.86475372,-42.16475296,-42.46475220,-42.76475143
-2.31269002,-1.79369903,-1.56456172,-0.84768236,-0.56377566,-0.17291121,0.13525848,-0.04416737,0.03716794,0.00119999,-0.18449110,-0.31094593,-0.24361444,-0.06651706,-0.36651707,-0.66651708,-0.96651709,-1.26651704,-1.26003253,-1.19377232,-1.31444204,-1.61444199,-1.87747169,-1.74670851,-2.04670858,-2.34670854,-2.64670849,-2.82152390,-3.12152386,-3.42152381,-3.00057364,-3.30057359,-3.60057354,-3.90057349,-4.20057344,-4.50057364,-4.80057383,-5.10057402,-5.40057421,-5.49423361,-5.77681780,-6.00621891,-6.30621910,-6.60621929,-6.90621948,-7.19813490,-7.49813509,-7.79813528,-8.09813499,-8.31002903,-8.61002922,-8.91002941,-9.21002960,-9.51002979,-9.81002998,-10.11003017,-10.24242306,-10.54242325,-10.84242344,-11.14242363,-11.44242382,-11.74242401,-12.04242420,-12.18098354,-12.48098373,-12.78098392,-13.08098412,-13.38098431,-13.68098450,-13.98098469,-14.28098488,-14.58098507,-14.88098526,-15.18098545,-15.48098564,-15.78098583,-16.08098602,-16.38098526,-16.68098450,-16.98098373,-17.28098297,-17.58098221,-17.88098145,-18.18098068,-18.48097992,-18.78097916,-19.08097839,-19.38097763,-19.68097687,-19.98097610,-20.28097534,-20.58097458,-20.88097382,-21.18097305,-21.48097229,-21.78097153,-22.08097076,-22.38097000,-22.68096924,-22.98096848,-23.28096771,-23.58096695,-23.88096619,-24.18096542,-24.16846466,-24.46846390,-24.76846313,-25.06846237,-25.36846161,-25.66846085,-25.96846008,-26.26845932,-26.56845856,-26.86845779,-27.16845703,-27.46845627,-27.76845551,-28.06845474,-28.36845398,-28.58426666,-28.88426590,-29.18426514,-29.48426437,-29.78426361,-30.08426285,-30.38426208,-30.68426132,-30.98426056,-31.28425980,-31.58425903,-31.85752296,-32.15752411,-32.45752335,-32.75752258,-33.05752182,-33.35752106,-33.65752029,-33.95751953,-34.25751877,-34.55751801,-34.85751724,-35.15751648,-35.45751572,-35.75751495,-36.05751419,-36.35751343,-36.65751266,-36.95751190,-37.25751114,-37.55751038,-37.85160065,-38.15159988,-38.45159912,-38.68904877,-38.98904800,-39.28904724,-39.58904648,-39.88251114,-40.18251038,-40.40804291,-40.70804214,-41.00804138,-41.30804062,-41.60803986,-41.90803909,-42.20803833
