-0.25508410,-0.40410161,-0.47885057,-0.77885056,-1.07885051,-1.37885046,-1.67885041,-1.97885036,-2.23699355,-2.39743829,-2.62500310,-2.92500305,-3.22500300,-3.52500296,-3.77466345,-4.07466364,-4.37466383,-4.67466402,-4.97466421,-5.27466440,-5.57466459,-5.87466478,-6.17466497,-6.47466516,-6.77466536,-7.07466555,-7.37466574,-7.67466593,-7.97466612,-8.27466583,-8.57466602,-8.87466621,-9.17466640,-9.47466660,-9.77466679,-10.07466698,-10.37466717,-10.67466736,-10.97466755,-11.27466774,-11.57466793,-11.87466812,-12.12355423,-12.42355442,-12.72355461,-13.02355480,-13.32355499,-13.62355518,-13.92355537,-14.22355556,-14.52355576,-14.82355595,-15.12355614,-15.42355633,-15.72355652,-16.02355576,-16.32355499,-16.62355423,-16.92355347,-17.22355270,-17.52355194,-17.82355118
0.29346281,0.01646024,-0.11524212,-0.11308342,-0.41308343,-0.71308345,-1.01308346,-1.26319218,-1.56319213,-1.86319208,-2.16319203,-2.46319199,-2.76319194,-2.98981690,-3.28981686,-3.44200635,-3.74200630,-4.04200649,-4.34200668,-4.64200687,-4.94200706,-5.24200726,-5.54200745,-5.57669640,-5.87669659,-6.17669678,-6.47669697,-6.77669716,-7.07669735,-7.37669754,-7.67669773,-7.97669792,-8.27669811,-8.57669830,-8.87669849,-9.17669868,-9.47669888,-9.77669907,-10.07669926,-10.37669945,-10.67669964,-10.97669983,-11.27670002,-11.57670021,-11.87670040,-12.17670059,-12.47670078,-12.77670097,-13.07670116,-13.37670135,-13.67670155,-13.97670174,-14.27670193,-14.57670212,-14.87670231,-15.17670250,-15.47670269,-15.77670288,-16.07670212,-16.37670135,-16.67670059,-16.97669983
-0.00653719,0.23297192,0.14415917,-0.15584083,-0.06484712,-0.13134515,-0.43134516,-0.73134518,-1.03134513,-1.32716453,-1.62716448,-1.92716444,-2.22716451,-2.52716446,-2.82716441,-3.12716436,-3.19577098,-3.49577093,-3.76143980,-4.06143999,-4.36144018,-4.66144037,-4.96144056,-5.26144075,-5.20770502,-5.50770521,-5.79601908,-6.00019264,-6.30019283,-6.60019302,-6.90019321,-7.20019341,-7.50019360,-7.80019379,-8.10019398,-8.40019417,-8.70019436,-9.00019455,-9.30019474,-9.60019493,-9.90019512,-10.20019531,-10.50019550,-10.80019569,-11.10019588,-11.40019608,-11.70019627,-12.00019646,-12.30019665,-12.60019684,-12.90019703,-13.20019722,-13.50019741,-13.80019760,-14.10019779,-14.40019798,-14.70019817,-15.00019836,-15.30019855,-15.60019875,-15.90019894,-16.20019913
-0.30653718,0.04285274,0.38225979,0.16954257,-0.03358723,0.16969505,-0.06859288,-0.27905047,-0.35066575,-0.63915825,-0.93915826,-1.23915827,-1.53915823,-1.83915818,-2.13915825,-2.43915820,-2.73915815,-2.93896198,-3.22410989,-3.52410984,-3.82410979,-4.02604342,-4.32604361,-4.62604380,-4.92604399,-4.99344587,-5.29344606,-5.52357388,-5.82357407,-6.12357426,-6.42357445,-6.72357464,-6.92790461,-7.19273520,-7.49273539,-7.79273558,-8.09273529,-8.39273548,-8.69273567,-8.99273586,-9.29273605,-9.59273624,-9.89273643,-10.19273663,-10.49273682,-10.79273701,-11.09273720,-11.39273739,-11.69273758,-11.99273777,-12.29273796,-12.59273815,-12.89273834,-13.19273853,-13.49273872,-13.79273891,-14.09273911,-14.39273930,-14.69273949,-14.99273968,-15.29273987,-15.59274006
-0.60653716,0.46278867,0.25948939,0.63755304,0.41665328,0.14792216,0.34268290,0.12107447,-0.15456295,-0.26740557,-0.56740558,-0.74410969,-1.04410970,-1.34410965,-1.64410961,-1.88678312,-2.18678308,-2.48678303,-2.78678298,-3.08678293,-3.35620475,-3.65620470,-3.89365029,-3.89784002,-4.19784021,-4.49784040,-4.79784060,-5.09784079,-5.39784098,-5.69784117,-5.99784136,-6.29784155,-6.59784174,-6.69124794,-6.99124813,-7.29124832,-7.59124851,-7.89124870,-8.13818550,-8.25346756,-8.26435089,-8.56435108,-8.86435127,-9.16435146,-9.46435165,-9.76435184,-10.06435204,-10.36435223,-10.66435242,-10.96435261,-11.26435280,-11.56435299,-11.86435318,-12.16435337,-12.46435356,-12.76435375,-13.06435394,-13.36435413,-13.66435432,-13.96435452,-14.26435471,-14.56435490
-0.90653718,0.16278867,0.46675554,0.46506736,0.83398443,0.53398442,0.33180770,0.56665814,0.26665813,-0.03334187,-0.33334187,-0.37377694,-0.67377692,-0.88598949,-1.15172660,-1.41883409,-1.71883404,-2.01883411,-2.31883407,-2.61883402,-2.86635733,-3.16635728,-3.46635723,-3.54841852,-3.77075362,-3.95525384,-4.25525379,-4.55525398,-4.85525417,-5.14172411,-5.44172430,-5.74172449,-6.04172468,-6.34172487,-6.47525263,-6.77525282,-7.07525301,-7.37525320,-7.67525339,-7.88681030,-8.09084129,-8.09590530,-8.39522076,-8.69522095,-8.99522114,-9.29522133,-9.59522152,-9.89522171,-10.02609348,-10.32609367,-10.62609386,-10.92609406,-11.22609425,-11.52609444,-11.82609463,-12.04885578,-12.34885597,-12.64885616,-12.94885635,-13.24885654,-13.54885674,-13.84885693
-1.20653713,-0.13721132,0.53284335,1.00142741,0.95873803,0.82321286,0.84572262,0.57364845,0.62581652,0.33878103,0.37430269,0.07430269,-0.22569731,-0.46557763,-0.33473355,-0.63473356,-0.93473357,-1.23473358,-1.53473353,-1.83473349,-1.98247349,-2.28247356,-2.58247352,-2.88247347,-3.18247342,-3.24957132,-3.54957128,-3.84957123,-4.14957142,-4.44957161,-4.57350254,-4.87350273,-5.17350292,-5.47350311,-5.77350330,-6.07350349,-6.37350368,-6.67350388,-6.97350407,-7.27350426,-7.57350445,-7.87350464,-7.73371506,-8.03371525,-8.33371544,-8.63371563,-8.93371582,-9.23371601,-9.53371620,-9.83371639,-10.13371658,-10.43113995,-10.73114014,-10.93832970,-11.23832989,-11.53833008,-11.83833027,-11.78878784,-12.08878803,-12.38878822,-12.68878841,-12.98878860
-1.50653708,-0.43721133,0.23284335,0.70142740,0.96828598,1.31265783,1.01265788,0.99910975,0.69910973,0.82495642,0.52495641,0.65416861,0.35416859,0.05416859,-0.24583140,-0.20001671,-0.15013778,-0.45013779,-0.75013781,-1.05013776,-1.35013771,-1.65013766,-1.95013762,-2.25013757,-2.52424002,-2.82423997,-2.61391854,-2.91391850,-3.21391845,-3.51391840,-3.81391835,-4.11391830,-4.41391850,-4.71391869,-5.01391888,-5.31391907,-5.61391926,-5.91391945,-6.21391964,-6.51391983,-6.81392002,-7.11392021,-7.41392040,-7.49849176,-7.79849195,-8.04695129,-8.34695148,-8.64695168,-8.94695187,-9.15229797,-9.41349888,-9.71349907,-10.01349926,-10.31349945,-10.61349964,-10.91349983,-11.21350002,-11.51350021,-11.65257454,-11.95257473,-12.08747101,-12.38747120
-1.80653703,-0.73721135,-0.06715664,0.40142739,1.02791500,1.01265788,1.34184682,1.09254587,1.26458931,0.96458930,1.19832718,0.89832717,0.81429100,0.62583017,0.44570214,0.14570214,-0.15429786,-0.14192435,-0.41061282,-0.71061283,-0.83464026,-1.13464022,-1.43464017,-1.73464012,-1.80588531,-1.94026494,-2.24026489,-2.54026484,-2.84026480,-3.00978398,-3.21919608,-3.51919603,-3.81919599,-4.11919594,-4.41919613,-4.71919632,-5.01919651,-5.31919670,-5.61919689,-5.91919708,-6.21919727,-6.51919746,-6.73592424,-7.03592443,-7.20833635,-7.50833654,-7.80833673,-8.10833645,-8.40833664,-8.70833683,-9.00833702,-9.28832340,-9.58832359,-9.61829662,-9.91829681,-10.15214729,-10.45214748,-10.75214767,-11.05214787,-11.35214806,-11.59811878,-11.84261036
-2.10653710,-1.03721130,-0.36715665,0.22898722,0.72791499,1.10340476,1.38605618,1.75731730,1.45731735,1.38965225,1.08965230,1.38703787,1.14157426,0.84548807,0.54548806,0.60782206,0.30782205,0.00782205,0.08734410,-0.21265590,-0.51265591,-0.60707521,-0.80086875,-0.99019253,-1.29019248,-1.59019244,-1.88309705,-2.18309712,-2.48309708,-2.70792031,-3.00792027,-3.28839517,-3.36020756,-3.66020751,-3.96020746,-4.23713398,-4.40388584,-4.70388603,-5.00388622,-5.17109632,-5.47109652,-5.77109671,-6.07109690,-6.37109709,-6.67109728,-6.97109747,-7.27109766,-7.57109785,-7.87109804,-8.17109776,-8.47109795,-8.73658752,-9.03658772,-9.33658791,-9.63658810,-9.79383659,-10.00313377,-10.30313396,-10.49168777,-10.79168797,-11.09168816,-11.39168835
