representation,metric,count,mean,median
local,normalized_nw_score,3,0.21658245470158008,0.27722164941212485
local,mean_path_cosine,3,0.4012907553179306,0.35282688766139847
local,mean_mask_iou,3,0.514052474225637,0.45653515624999996
local,path_cosine_margin,3,0.19495207652084456,0.15915952056068283
local,path_cosine_z,3,1.043598715091583,0.9256063137349674
local,component_count,3,1.3333333333333333,1.0
local,gap_steps,3,21.333333333333332,26.0
context,normalized_nw_score,3,0.5144525860983228,0.48365768553718685
context,mean_path_cosine,3,0.7496912984023365,0.7925281220156214
context,mean_mask_iou,3,0.4410915809082772,0.43132297040456147
context,path_cosine_margin,3,0.13527938802737713,0.14502767823180374
context,path_cosine_z,3,0.47321598015861976,0.522789401907286
context,component_count,3,1.6666666666666667,2.0
context,gap_steps,3,10.666666666666666,4.0
fused,normalized_nw_score,3,0.17867597070320573,0.1837282483539884
fused,mean_path_cosine,3,0.4847105755961835,0.39814609463792294
fused,mean_mask_iou,3,0.5728411853769012,0.5667892156862745
fused,path_cosine_margin,3,0.4369911652859946,0.34259483020287007
fused,path_cosine_z,3,1.9700328713163529,1.4854767912437516
fused,component_count,3,2.3333333333333335,2.0
fused,gap_steps,3,26.666666666666668,32.0
fused_wrong_context,normalized_nw_score,3,0.1707203930647916,0.16801794748457652
fused_wrong_context,mean_path_cosine,3,0.47400721092829357,0.4226951791771821
fused_wrong_context,mean_mask_iou,3,0.5074741006752309,0.48329322638146166
fused_wrong_context,path_cosine_margin,3,0.42507640823532394,0.36653706867780006
fused_wrong_context,path_cosine_z,3,1.8762103031414636,1.464067696978199
fused_wrong_context,component_count,3,3.0,3.0
fused_wrong_context,gap_steps,3,30.666666666666668,32.0
