side,step,valid_window_index,physical_window_index,letter_index,letter,cost
1,0,0,8,0,ا,4.889081001281738
1,1,1,9,1,ذ,4.6358418464660645
1,2,2,10,2,ا,2.7247204780578613
1,3,3,11,3,س,2.3765761852264404
1,4,4,12,3,س,2.2981255054473877
1,5,5,13,4,ل,2.7519607543945312
1,6,6,14,5,م,3.8195769786834717
1,7,7,15,5,م,2.887537956237793
1,8,8,16,6,ت,0.9380877614021301
1,9,9,17,7,م,3.4679408073425293
1,10,10,18,8,م,2.5523672103881836
1,11,11,19,9,ا,7.277044773101807
1,12,12,20,10,ا,7.184467315673828
1,13,13,21,11,ت,2.7562096118927
1,14,14,22,12,ي,2.524596929550171
1,15,15,23,13,ت,5.103967666625977
1,16,16,24,14,م,4.3564558029174805
1,17,17,25,15,ب,3.421205520629883
1,18,18,26,16,ا,0.4464624226093292
1,19,19,27,17,ل,4.521462440490723
1,20,20,28,18,م,3.090576410293579
1,21,21,29,19,ع,4.337210178375244
1,22,22,30,20,ر,4.419965744018555
1,23,23,31,21,و,6.7490315437316895
1,24,24,32,22,ف,2.89229416847229
1,25,24,32,23,و,4.518531799316406
1,26,24,32,24,ا,2.9339399337768555
1,27,24,32,25,ت,1.8480395078659058
1,28,25,33,26,ق,5.324796676635742
1,29,26,34,27,و,2.451860189437866
1,30,27,35,28,ا,7.001608848571777
1,31,28,36,29,ا,2.7812206745147705
1,32,28,36,30,ل,1.2038190364837646
1,33,28,36,31,ل,1.2010412216186523
1,34,29,37,32,ه,4.3511223793029785
1,35,30,38,33,و,6.112063884735107
1,36,31,39,34,ا,2.14001727104187
1,37,32,40,35,ع,0.9476799368858337
1,38,32,40,36,ل,5.464155673980713
1,39,32,40,37,م,2.06204891204834
1,40,32,40,38,و,4.8322625160217285
1,41,33,41,39,ا,2.371609687805176
1,42,33,41,40,ا,2.374387502670288
1,43,33,41,41,ن,1.637196660041809
1,44,33,41,42,ا,2.3799431324005127
1,45,34,42,43,ل,2.705779552459717
1,46,35,43,44,ل,0.9636852741241455
1,47,36,44,45,ه,3.6966042518615723
1,48,37,45,46,ب,1.8499250411987305
1,49,38,46,47,م,3.6428325176239014
1,50,39,47,48,ا,5.546180725097656
1,51,40,48,49,ت,4.381272315979004
1,52,41,49,50,ع,3.6025311946868896
1,53,42,50,50,ع,1.9767978191375732
1,54,43,51,51,م,6.89390754699707
1,55,44,52,52,ل,4.287108898162842
1,56,45,53,53,و,5.5040788650512695
1,57,46,54,54,ن,3.316828489303589
2,0,0,6,0,م,6.567934036254883
2,1,1,7,0,م,2.0665111541748047
2,2,2,8,0,م,0.2581424415111542
2,3,3,9,1,ن,2.0067286491394043
2,4,4,10,2,ا,0.9371427297592163
2,5,5,11,3,ل,1.6619070768356323
2,6,6,12,4,ك,3.258453369140625
2,7,7,13,5,ت,4.395419120788574
2,8,8,14,6,ا,4.213130474090576
2,9,9,15,7,ب,1.0213732719421387
2,10,10,16,8,و,3.952207326889038
2,11,11,17,9,ا,2.064798593521118
2,12,12,18,10,ل,0.7871190309524536
2,13,13,19,11,ح,2.340714693069458
2,14,14,20,12,ك,1.9080584049224854
2,15,15,21,12,ك,3.9352359771728516
2,16,16,22,12,ك,0.9037017226219177
2,17,17,23,13,م,3.232215166091919
2,18,18,24,14,ة,4.309955596923828
2,19,19,25,15,ي,1.291037917137146
2,20,20,26,16,ع,2.09995698928833
2,21,21,27,17,ظ,3.746682643890381
2,22,22,28,18,ك,3.2256250381469727
2,23,23,29,18,ك,2.304879665374756
2,24,24,30,19,م,5.9844841957092285
2,25,25,31,20,ب,3.949396848678589
2,26,26,32,21,ه,3.0832133293151855
2,27,27,33,22,و,4.453953266143799
2,28,28,34,23,ا,5.866397380828857
2,29,29,35,24,ت,3.3850059509277344
2,30,30,36,25,ق,2.7468693256378174
2,31,31,37,26,و,4.904778957366943
2,32,32,38,27,ا,5.960882663726807
2,33,33,39,28,ا,0.8787750005722046
2,34,34,40,29,ل,0.6180114150047302
2,35,35,41,30,ل,0.0851663276553154
2,36,36,42,31,ه,3.312283754348755
2,37,37,43,32,و,1.370043396949768
2,38,38,44,33,ا,5.6776123046875
2,39,39,45,34,ع,2.826387882232666
2,40,40,46,35,ل,1.5575650930404663
2,41,41,47,36,م,2.7046191692352295
2,42,42,48,37,و,4.495891571044922
2,43,43,49,38,ا,4.888199806213379
2,44,44,50,39,ا,3.8994860649108887
2,45,45,51,40,ن,3.161684036254883
2,46,46,52,41,ا,0.1821618676185608
2,47,47,53,41,ا,0.6303308010101318
2,48,48,54,42,ل,1.2328721284866333
2,49,49,55,43,ل,5.318591594696045
2,50,50,56,44,ه,4.1719651222229
