representation,metric,count,physical_minus_old_mean_delta,physical_wins,ties,physical_losses,physical_win_rate
local,normalized_nw_score,3,-0.0889736811319987,0,0,3,0.0
local,mean_path_cosine,3,-0.09349083136657643,0,0,3,0.0
local,mean_mask_iou,3,0.021418590781356956,2,1,0,0.6666666666666666
local,path_cosine_margin,3,0.0261473682409548,2,0,1,0.6666666666666666
local,path_cosine_z,3,-0.19277013853456773,1,0,2,0.3333333333333333
context,normalized_nw_score,3,0.3455443962541207,3,0,0,1.0
context,mean_path_cosine,3,0.38835742115707417,3,0,0,1.0
context,mean_mask_iou,3,-0.04800473422999185,0,0,3,0.0
context,path_cosine_margin,3,-0.10998564174044904,0,0,3,0.0
context,path_cosine_z,3,-0.9406836534643737,0,0,3,0.0
fused,normalized_nw_score,3,0.010138250532604405,2,0,1,0.6666666666666666
fused,mean_path_cosine,3,0.019560629552129987,2,0,1,0.6666666666666666
fused,mean_mask_iou,3,0.029408288296445668,2,0,1,0.6666666666666666
fused,path_cosine_margin,3,0.010690243964914562,2,0,1,0.6666666666666666
fused,path_cosine_z,3,0.08623224068387107,2,0,1,0.6666666666666666
fused_wrong_context,normalized_nw_score,3,0.10866512444914962,3,0,0,1.0
fused_wrong_context,mean_path_cosine,3,0.16375014071931554,3,0,0,1.0
fused_wrong_context,mean_mask_iou,3,0.03521815974103332,2,0,1,0.6666666666666666
fused_wrong_context,path_cosine_margin,3,0.16249770308802639,3,0,0,1.0
fused_wrong_context,path_cosine_z,3,0.6203206900396183,3,0,0,1.0
