window,physical_x0,physical_x1,ink_ratio,used_by_training_dtw,primitive_raw_norm,semantic_norm,primitive_semantic_cosine,restoration_mae,restoration_edge_mae,top1_letter,top1_cosine,top2_letter,top2_cosine,top1_margin,dtw_letter_indices,dtw_letters,dtw_path_cosine_mean,previous_primitive_cosine,next_primitive_cosine,previous_semantic_cosine,next_semantic_cosine
0,992,1024,0.055908203125,True,11.318135261535645,11.313652992248535,0.9999998807907104,0.43501365184783936,0.10464507341384888,ل,0.1356167197227478,و,0.13119226694107056,0.004424452781677246,0,ا,-0.11785005778074265,,0.9649595618247986,,0.9649595618247986
1,976,1008,0.063232421875,True,11.319296836853027,11.313652038574219,1.0,0.42233896255493164,0.10109496861696243,ل,0.12432312965393066,ط,0.11531078815460205,0.009012341499328613,1,ل,0.12432312965393066,0.9649595618247986,0.9629901647567749,0.9649595618247986,0.9629901647567749
2,960,992,0.065185546875,True,11.321296691894531,11.313652038574219,0.9999998807907104,0.41914838552474976,0.09304077923297882,ل,0.13588625192642212,ث,0.12079255282878876,0.015093699097633362,1,ل,0.13588625192642212,0.9629901647567749,0.9802689552307129,0.9629901647567749,0.9802689552307129
3,944,976,0.07861328125,True,11.319754600524902,11.313651084899902,1.0,0.40616628527641296,0.09914153814315796,ل,0.13056130707263947,و,0.1160246953368187,0.01453661173582077,1,ل,0.13056130707263947,0.9802689552307129,0.964057207107544,0.9802689552307129,0.964057207107544
4,928,960,0.0673828125,True,11.320099830627441,11.313652038574219,1.0,0.40285831689834595,0.09743504226207733,ل,0.13873469829559326,و,0.12165268510580063,0.017082013189792633,1,ل,0.13873469829559326,0.964057207107544,0.978731095790863,0.964057207107544,0.978731095790863
5,912,944,0.053955078125,True,11.318320274353027,11.313652038574219,0.9999999403953552,0.42956894636154175,0.10356171429157257,ل,0.1493794023990631,ط,0.11340945214033127,0.03596995025873184,1,ل,0.1493794023990631,0.978731095790863,0.9846555590629578,0.978731095790863,0.9846555590629578
6,896,928,0.053466796875,True,11.317118644714355,11.313651084899902,1.0,0.424267053604126,0.10264255106449127,ث,0.12387912720441818,ط,0.11809955537319183,0.005779571831226349,2,ح,-0.19758155941963196,0.9846555590629578,0.9414907693862915,0.9846555590629578,0.9414907693862915
7,880,912,0.068115234375,True,11.318938255310059,11.313652038574219,0.9999998807907104,0.4120441973209381,0.10543311387300491,ل,0.14062431454658508,ط,0.10856977105140686,0.03205454349517822,3,ض,0.06619119644165039,0.9414907693862915,0.9077953100204468,0.9414907693862915,0.9077953100204468
8,864,896,0.04638671875,True,11.32392406463623,11.313652038574219,0.9999999403953552,0.4412892162799835,0.0973278284072876,ل,0.16043411195278168,ؤ,0.10879052430391312,0.05164358764886856,4,ا,-0.10689258575439453,0.9077953100204468,0.916196882724762,0.9077953100204468,0.916196882724762
9,848,880,0.03564453125,True,11.31685733795166,11.313652038574219,1.0,0.4558188319206238,0.09637688100337982,ل,0.12988993525505066,ط,0.09978502988815308,0.030104905366897583,5,ر,-0.08875652402639389,0.916196882724762,0.9641499519348145,0.916196882724762,0.9641499519348145
10,832,864,0.064453125,True,11.320327758789062,11.313652992248535,1.0,0.42638906836509705,0.09976392984390259,ل,0.14819028973579407,و,0.1147187128663063,0.03347157686948776,6,ة,-0.08531910181045532,0.9641499519348145,0.9853230118751526,0.9641499519348145,0.9853230118751526
11,816,848,0.04833984375,True,11.318877220153809,11.313652038574219,1.0,0.4214898943901062,0.09458224475383759,ل,0.1609264761209488,و,0.12282523512840271,0.03810124099254608,7,ت,0.04091362655162811,0.9853230118751526,0.9712568521499634,0.9853230118751526,0.9712568521499634
12,800,832,0.062744140625,True,11.316951751708984,11.313651084899902,1.0,0.41885852813720703,0.09750277549028397,ل,0.13554640114307404,و,0.11582615226507187,0.019720248878002167,8,ب,-0.12943366169929504,0.9712568521499634,0.9663589000701904,0.9712568521499634,0.9663589000701904
13,784,816,0.074462890625,True,11.321574211120605,11.313651084899902,1.0,0.4006257951259613,0.09994250535964966,ل,0.14754734933376312,و,0.12120790779590607,0.026339441537857056,9,ن,-0.14185678958892822,0.9663589000701904,0.982556164264679,0.9663589000701904,0.982556164264679
14,768,800,0.0498046875,True,11.322271347045898,11.313652038574219,1.0,0.4403688311576843,0.09629344940185547,ل,0.15486860275268555,و,0.10575681924819946,0.049111783504486084,10,ى,0.040503695607185364,0.982556164264679,0.9798577427864075,0.982556164264679,0.9798577427864075
15,752,784,0.046875,True,11.31965160369873,11.313652038574219,0.9999999403953552,0.43932873010635376,0.09398843348026276,ل,0.130543515086174,ث,0.11767865717411041,0.012864857912063599,11,ف,-0.1809786856174469,0.9798577427864075,0.97983318567276,0.9798577427864075,0.97983318567276
16,736,768,0.063232421875,True,11.318782806396484,11.313652992248535,0.9999998807907104,0.4083065986633301,0.09858033061027527,ل,0.15334215760231018,و,0.1391691118478775,0.014173045754432678,12,ي,-0.02691207081079483,0.97983318567276,0.9779211282730103,0.97983318567276,0.9779211282730103
17,720,752,0.066162109375,True,11.318014144897461,11.313651084899902,1.0000001192092896,0.41274961829185486,0.10613933205604553,ل,0.129531592130661,و,0.10390806198120117,0.02562353014945984,13,ب,-0.10794125497341156,0.9779211282730103,0.9662612080574036,0.9779211282730103,0.9662612080574036
18,704,736,0.0625,True,11.318696022033691,11.313652038574219,1.0,0.4174666106700897,0.09919214248657227,ل,0.13977576792240143,ط,0.11362501978874207,0.026150748133659363,14,ا,-0.11185061186552048,0.9662612080574036,0.962364912033081,0.9662612080574036,0.962364912033081
19,688,720,0.06494140625,True,11.321352005004883,11.313652038574219,0.9999998807907104,0.41472673416137695,0.09337475150823593,ل,0.1335059106349945,ث,0.1143481656908989,0.01915774494409561,15,ل,0.1335059106349945,0.962364912033081,0.9730758666992188,0.962364912033081,0.9730758666992188
20,672,704,0.06201171875,True,11.318172454833984,11.313652038574219,0.9999998807907104,0.4358818531036377,0.09673307836055756,ل,0.12172050774097443,ز,0.09908445179462433,0.022636055946350098,15,ل,0.12172050774097443,0.9730758666992188,0.9735832214355469,0.9730758666992188,0.9735832214355469
21,656,688,0.056396484375,True,11.317980766296387,11.313651084899902,1.0,0.43813079595565796,0.10165352374315262,و,0.1317877173423767,ل,0.12897002696990967,0.002817690372467041,16,ح,-0.1911972612142563,0.9735832214355469,0.9564038515090942,0.9735832214355469,0.9564038515090942
22,640,672,0.076171875,True,11.316844940185547,11.313651084899902,1.0,0.4132406711578369,0.10493507981300354,ل,0.13781778514385223,و,0.1214202418923378,0.016397543251514435,17,د,0.03370175510644913,0.9564038515090942,0.9670339822769165,0.9564038515090942,0.9670339822769165
23,624,656,0.091796875,True,11.32100772857666,11.313652038574219,1.0,0.39570915699005127,0.10277536511421204,ل,0.1437786966562271,و,0.1324186474084854,0.0113600492477417,18,ي,-0.048775747418403625,0.9670339822769165,0.9336467981338501,0.9670339822769165,0.9336467981338501
24,608,640,0.044677734375,True,11.323830604553223,11.313651084899902,1.0,0.44174107909202576,0.0994735062122345,ل,0.15684764087200165,ث,0.11447928845882416,0.04236835241317749,19,ق,0.04182027652859688,0.9336467981338501,0.9447154998779297,0.9336467981338501,0.9447154998779297
25,592,624,0.02392578125,True,11.318607330322266,11.313652038574219,1.0,0.46790897846221924,0.09287765622138977,ل,0.12481364607810974,ث,0.1174032986164093,0.0074103474617004395,20,ة,-0.08172429352998734,0.9447154998779297,0.9732422828674316,0.9447154998779297,0.9732422828674316
26,576,608,0.058349609375,True,11.32129955291748,11.313651084899902,1.0,0.435411274433136,0.09870987385511398,ل,0.14964038133621216,و,0.14254695177078247,0.0070934295654296875,21,م,-0.0043192580342292786,0.9732422828674316,0.9689322113990784,0.9732422828674316,0.9689322113990784
27,560,592,0.0693359375,True,11.318602561950684,11.313651084899902,1.0000001192092896,0.41107821464538574,0.10086007416248322,ل,0.1430519074201584,و,0.11603479087352753,0.02701711654663086,22,ل,0.1430519074201584,0.9689322113990784,0.9716883897781372,0.9689322113990784,0.9716883897781372
28,544,576,0.07763671875,True,11.318669319152832,11.313652992248535,0.9999998807907104,0.39799612760543823,0.09877989441156387,ل,0.13982541859149933,و,0.129024937748909,0.010800480842590332,23,ي,-0.033336929976940155,0.9716883897781372,0.9634077548980713,0.9716883897781372,0.9634077548980713
29,528,560,0.07080078125,True,11.318730354309082,11.313651084899902,1.0000001192092896,0.4075734615325928,0.09859766066074371,ل,0.1301841288805008,ث,0.12546497583389282,0.004719153046607971,24,ئ,0.08130010217428207,0.9634077548980713,0.9684873223304749,0.9634077548980713,0.9684873223304749
30,512,544,0.0693359375,True,11.317896842956543,11.313651084899902,1.0,0.4090198278427124,0.10350215435028076,ل,0.11500079929828644,ث,0.09872466325759888,0.01627613604068756,25,ة,-0.06452690809965134,0.9684873223304749,0.9752777814865112,0.9684873223304749,0.9752777814865112
31,496,528,0.095458984375,True,11.316823959350586,11.313651084899902,1.0,0.3950614333152771,0.10924915969371796,ل,0.13638730347156525,ط,0.10643357783555984,0.0299537256360054,26,ا,-0.12439844012260437,0.9752777814865112,0.959815263748169,0.9752777814865112,0.959815263748169
32,480,512,0.083251953125,True,11.32006549835205,11.313652038574219,1.0,0.38441669940948486,0.10851956903934479,ل,0.16004954278469086,و,0.12609082460403442,0.03395871818065643,27,ل,0.16004954278469086,0.959815263748169,0.9625952243804932,0.959815263748169,0.9625952243804932
33,464,496,0.06201171875,True,11.317251205444336,11.313650131225586,1.0000001192092896,0.4128561317920685,0.10012313723564148,ل,0.13766509294509888,ط,0.11506302654743195,0.02260206639766693,27,ل,0.13766509294509888,0.9625952243804932,0.966572642326355,0.9625952243804932,0.966572642326355
34,448,480,0.069091796875,True,11.319499969482422,11.313652038574219,0.9999998807907104,0.3953203558921814,0.09408316016197205,ل,0.15981315076351166,و,0.11616688966751099,0.04364626109600067,28,إ,-0.125984326004982,0.966572642326355,0.9628282785415649,0.966572642326355,0.9628282785415649
35,432,464,0.07080078125,True,11.32166862487793,11.313652038574219,1.0,0.4147322475910187,0.10086095333099365,ل,0.16440993547439575,ث,0.11926239728927612,0.04514753818511963,29,ي,-0.057060763239860535,0.9628282785415649,0.9528805017471313,0.9628282785415649,0.9528805017471313
36,416,448,0.08203125,True,11.316819190979004,11.313651084899902,1.0,0.3932645320892334,0.10682627558708191,ل,0.1186930388212204,ط,0.11507643759250641,0.0036166012287139893,30,ج,-0.0725502297282219,0.9528805017471313,0.9598580598831177,0.9528805017471313,0.9598580598831177
37,400,432,0.075927734375,True,11.321946144104004,11.313652038574219,0.9999998807907104,0.4062506854534149,0.1025557667016983,ل,0.1475905030965805,و,0.11564882099628448,0.03194168210029602,31,ا,-0.11519424617290497,0.9598580598831177,0.9706103801727295,0.9598580598831177,0.9706103801727295
38,384,416,0.029052734375,True,11.320717811584473,11.313652038574219,1.0,0.45816442370414734,0.09385961294174194,ل,0.13392384350299835,و,0.10838261246681213,0.025541231036186218,32,ب,-0.08117033541202545,0.9706103801727295,0.9414097666740417,0.9706103801727295,0.9414097666740417
39,368,400,0.0361328125,True,11.316389083862305,11.313652038574219,1.0,0.44946643710136414,0.09701491892337799,ط,0.10346943140029907,ث,0.10174313932657242,0.001726292073726654,33,ي,-0.02891751565039158,0.9414097666740417,0.9611713290214539,0.9414097666740417,0.9611713290214539
40,352,384,0.078125,True,11.318495750427246,11.313652038574219,1.0,0.38328295946121216,0.10265161842107773,ل,0.1636141538619995,و,0.09648812562227249,0.06712602823972702,34,ي,-0.012855106964707375,0.9611713290214539,0.9517127275466919,0.9611713290214539,0.9517127275466919
41,336,368,0.076171875,True,11.321901321411133,11.313651084899902,1.0,0.4050590395927429,0.09974212944507599,ل,0.1558946967124939,ث,0.12699081003665924,0.028903886675834656,35,غ,-0.10249190032482147,0.9517127275466919,0.961167573928833,0.9517127275466919,0.961167573928833
42,320,352,0.04345703125,True,11.320233345031738,11.313651084899902,1.0,0.42748576402664185,0.09507564455270767,ل,0.1347685605287552,ث,0.11070027947425842,0.024068281054496765,36,ي,-0.05191224068403244,0.961167573928833,0.9699487090110779,0.961167573928833,0.9699487090110779
43,304,336,0.05078125,True,11.317792892456055,11.313651084899902,1.0,0.43262964487075806,0.09992223978042603,ل,0.10604580491781235,ث,0.10476737469434738,0.0012784302234649658,37,ر,-0.07409334182739258,0.9699487090110779,0.9753415584564209,0.9699487090110779,0.9753415584564209
44,288,320,0.07275390625,True,11.317051887512207,11.313651084899902,1.0000001192092896,0.3995792865753174,0.10242600739002228,ل,0.12701718509197235,ث,0.12076014280319214,0.006257042288780212,38,ا,-0.16677866876125336,0.9753415584564209,0.9614227414131165,0.9753415584564209,0.9614227414131165
45,272,304,0.0654296875,True,11.320632934570312,11.313651084899902,1.0,0.4009428918361664,0.09250505268573761,ل,0.17412421107292175,و,0.11742208153009415,0.056702129542827606,39,ل,0.17412421107292175,0.9614227414131165,0.9842209815979004,0.9614227414131165,0.9842209815979004
46,256,288,0.07177734375,True,11.323143005371094,11.313652992248535,0.9999999403953552,0.3998539447784424,0.09486792981624603,ل,0.17974422872066498,و,0.11744276434183121,0.06230146437883377,39,ل,0.17974422872066498,0.9842209815979004,0.9782664179801941,0.9842209815979004,0.9782664179801941
47,240,272,0.071533203125,True,11.321149826049805,11.313651084899902,1.0,0.391512393951416,0.09849308431148529,ل,0.1533004194498062,ث,0.1273815929889679,0.025918826460838318,39,ل,0.1533004194498062,0.9782664179801941,0.971175491809845,0.9782664179801941,0.971175491809845
