-0.11785006,0.13561672,-0.19990113,0.08164050,-0.11785006,-0.09514831,-0.10303977,0.05721053,-0.10077967,-0.15619436,0.02102842,-0.17614985,-0.04419326,-0.10077967,-0.11785006,0.13561672,-0.19990113,0.05553887,-0.04419326,0.00456060,-0.10303977,-0.00086273,0.13561672,-0.04419326,0.05018252,-0.10303977,-0.11785006,0.13561672,-0.10388289,-0.04419326,-0.13729444,-0.11785006,-0.10077967,-0.04419326,-0.04419326,-0.13100788,-0.04419326,-0.09514831,-0.11785006,0.13561672,-0.19990113,0.08164050,-0.11785006,-0.09514831,-0.10303977,0.05721053,-0.10077967,-0.15619436,0.02102842,-0.10077967,-0.11785006,0.13561672,0.01303317,0.13561672,-0.00086273
-0.10504276,0.12432313,-0.22269143,0.07781605,-0.10504276,-0.06437436,-0.09718230,0.03987115,-0.09635191,-0.13587087,0.01398449,-0.16419035,-0.03526827,-0.09635191,-0.10504276,0.12432313,-0.22269143,0.01326996,-0.03526827,-0.04269392,-0.09718230,0.02085571,0.12432313,-0.03526827,0.06027528,-0.09718230,-0.10504276,0.12432313,-0.10715333,-0.03526827,-0.08680746,-0.10504276,-0.09635191,-0.03526827,-0.03526827,-0.09662191,-0.03526827,-0.06437436,-0.10504276,0.12432313,-0.22269143,0.07781605,-0.10504276,-0.06437436,-0.09718230,0.03987115,-0.09635191,-0.13587087,0.01398449,-0.09635191,-0.10504276,0.12432313,0.01617081,0.12432313,0.02085571
-0.14099905,0.13588625,-0.22407566,0.05089726,-0.14099905,-0.07586027,-0.05923748,0.04251763,-0.10044601,-0.11496168,0.01377441,-0.16375802,-0.04367794,-0.10044601,-0.14099905,0.13588625,-0.22407566,0.01372412,-0.04367794,-0.03424009,-0.05923748,0.01281387,0.13588625,-0.04367794,0.06321219,-0.05923748,-0.14099905,0.13588625,-0.14903980,-0.04367794,-0.09545673,-0.14099905,-0.10044601,-0.04367794,-0.04367794,-0.10812454,-0.04367794,-0.07586027,-0.14099905,0.13588625,-0.22407566,0.05089726,-0.14099905,-0.07586027,-0.05923748,0.04251763,-0.10044601,-0.11496168,0.01377441,-0.10044601,-0.14099905,0.13588625,0.03450599,0.13588625,0.01281387
-0.12574278,0.13056131,-0.21749261,0.06569719,-0.12574278,-0.06295058,-0.06987061,0.03445634,-0.11331152,-0.12212700,0.00362485,-0.14120163,-0.02169948,-0.11331152,-0.12574278,0.13056131,-0.21749261,-0.00483076,-0.02169948,-0.06428105,-0.06987061,-0.01243476,0.13056131,-0.02169948,0.04504978,-0.06987061,-0.12574278,0.13056131,-0.12625971,-0.02169948,-0.08272352,-0.12574278,-0.11331152,-0.02169948,-0.02169948,-0.08929040,-0.02169948,-0.06295058,-0.12574278,0.13056131,-0.21749261,0.06569719,-0.12574278,-0.06295058,-0.06987061,0.03445634,-0.11331152,-0.12212700,0.00362485,-0.11331152,-0.12574278,0.13056131,0.01790545,0.13056131,-0.01243476
-0.12556700,0.13873470,-0.20559233,0.07249676,-0.12556700,-0.05814469,-0.09860760,0.03697264,-0.10758808,-0.16343847,0.00755375,-0.18172558,-0.05691099,-0.10758808,-0.12556700,0.13873470,-0.20559233,0.01363806,-0.05691099,-0.02851699,-0.09860760,0.00567717,0.13873470,-0.05691099,0.06227206,-0.09860760,-0.12556700,0.13873470,-0.07743751,-0.05691099,-0.09680614,-0.12556700,-0.10758808,-0.05691099,-0.05691099,-0.11002420,-0.05691099,-0.05814469,-0.12556700,0.13873470,-0.20559233,0.07249676,-0.12556700,-0.05814469,-0.09860760,0.03697264,-0.10758808,-0.16343847,0.00755375,-0.10758808,-0.12556700,0.13873470,0.00765045,0.13873470,0.00567717
-0.12795201,0.14937940,-0.20251235,0.08935499,-0.12795201,-0.09890869,-0.07196242,0.03078677,-0.10738862,-0.15684859,0.01795172,-0.16982412,-0.02185687,-0.10738862,-0.12795201,0.14937940,-0.20251235,0.03647736,-0.02185687,-0.01642697,-0.07196242,0.00930755,0.14937940,-0.02185687,0.09054253,-0.07196242,-0.12795201,0.14937940,-0.11264507,-0.02185687,-0.08463631,-0.12795201,-0.10738862,-0.02185687,-0.02185687,-0.07771335,-0.02185687,-0.09890869,-0.12795201,0.14937940,-0.20251235,0.08935499,-0.12795201,-0.09890869,-0.07196242,0.03078677,-0.10738862,-0.15684859,0.01795172,-0.10738862,-0.12795201,0.14937940,0.00345556,0.14937940,0.00930755
-0.10899197,0.10659572,-0.19758156,0.05839916,-0.10899197,-0.09801999,-0.06985322,0.04402842,-0.11165785,-0.12840457,0.00271873,-0.12611103,-0.04131392,-0.11165785,-0.10899197,0.10659572,-0.19758156,0.05185549,-0.04131392,-0.05045257,-0.06985322,0.01846498,0.10659572,-0.04131392,0.09009608,-0.06985322,-0.10899197,0.10659572,-0.13686533,-0.04131392,-0.09351586,-0.10899197,-0.11165785,-0.04131392,-0.04131392,-0.08026593,-0.04131392,-0.09801999,-0.10899197,0.10659572,-0.19758156,0.05839916,-0.10899197,-0.09801999,-0.06985322,0.04402842,-0.11165785,-0.12840457,0.00271873,-0.11165785,-0.10899197,0.10659572,0.02559986,0.10659572,0.01846498
-0.14235346,0.14062431,-0.20505530,0.06619120,-0.14235346,-0.06617630,-0.06892251,0.03852367,-0.12629429,-0.12054149,0.02107660,-0.18220232,-0.03093502,-0.12629429,-0.14235346,0.14062431,-0.20505530,0.03070510,-0.03093502,-0.02449716,-0.06892251,-0.00891097,0.14062431,-0.03093502,0.07781863,-0.06892251,-0.14235346,0.14062431,-0.12894751,-0.03093502,-0.08849563,-0.14235346,-0.12629429,-0.03093502,-0.03093502,-0.09559779,-0.03093502,-0.06617630,-0.14235346,0.14062431,-0.20505530,0.06619120,-0.14235346,-0.06617630,-0.06892251,0.03852367,-0.12629429,-0.12054149,0.02107660,-0.12629429,-0.14235346,0.14062431,0.01409437,0.14062431,-0.00891097
-0.10689259,0.16043411,-0.21620728,0.04215457,-0.10689259,-0.05985976,-0.13830860,0.04351383,-0.09160447,-0.15669747,0.03947683,-0.19384700,-0.06993689,-0.09160447,-0.10689259,0.16043411,-0.21620728,-0.00514755,-0.06993689,0.03486304,-0.13830860,0.00320897,0.16043411,-0.06993689,-0.00812964,-0.13830860,-0.10689259,0.16043411,-0.07263988,-0.06993689,-0.13753667,-0.10689259,-0.09160447,-0.06993689,-0.06993689,-0.09749757,-0.06993689,-0.05985976,-0.10689259,0.16043411,-0.21620728,0.04215457,-0.10689259,-0.05985976,-0.13830860,0.04351383,-0.09160447,-0.15669747,0.03947683,-0.09160447,-0.10689259,0.16043411,-0.02908925,0.16043411,0.00320897
-0.16210818,0.12988994,-0.19677515,0.05608978,-0.16210818,-0.08875652,-0.07432303,0.02581658,-0.09865207,-0.12897852,0.00176026,-0.18036512,-0.03400927,-0.09865207,-0.16210818,0.12988994,-0.19677515,0.03850632,-0.03400927,0.00291977,-0.07432303,-0.01926946,0.12988994,-0.03400927,0.07073385,-0.07432303,-0.16210818,0.12988994,-0.12266256,-0.03400927,-0.08516283,-0.16210818,-0.09865207,-0.03400927,-0.03400927,-0.11507024,-0.03400927,-0.08875652,-0.16210818,0.12988994,-0.19677515,0.05608978,-0.16210818,-0.08875652,-0.07432303,0.02581658,-0.09865207,-0.12897852,0.00176026,-0.09865207,-0.16210818,0.12988994,0.00659663,0.12988994,-0.01926946
