-0.25804016,-0.47944379,-0.77944380,-0.74988770,-1.04988766,-1.34988761,-1.64988756,-1.94988751,-2.24988747,-2.54988742,-2.84988737,-3.14988732,-3.35244322,-3.65244317,-3.95244312,-4.25244331,-4.23462391,-4.53462410,-4.83462429,-5.13462448,-5.43462467,-5.73462486,-6.03462505,-6.33462524,-6.63462543,-6.93462563,-7.23462582,-7.53462601,-7.83462620,-8.13462639,-8.43462658,-8.73462677,-9.03462696,-9.33462715,-9.63462734,-9.93462753,-10.23462772,-10.53462791,-10.83462811,-11.13462830,-11.43462849,-11.45672226,-11.75672245,-12.05672264,-12.35672283,-12.65672302,-12.95672321,-13.25672340,-13.55672359,-13.85672379,-14.10086727,-14.40086746,-14.70086765,-15.00086784,-15.30086803,-15.60086823,-15.90086842,-16.20086861,-16.50086784,-16.80086708,-17.10086632,-17.40086555,-17.70086479,-18.00086403,-18.30086327,-18.60086250,-18.90086174,-19.20086098,-19.50086021,-19.80085945,-20.10085869,-20.40085793,-20.70085716,-21.00085640,-21.30085564,-21.60085487,-21.90085411,-22.20085335,-22.50085258,-22.80085182,-23.10085106,-23.40085030,-23.70084953,-24.00084877,-24.30084801,-24.60084724,-24.90084648,-25.20084572,-25.50084496,-25.80084419,-26.10084343,-26.40084267,-26.70084190,-27.00084114,-27.30084038,-27.60083961,-27.90083885,-28.20083809,-28.50083733,-28.80083656,-29.10083580,-29.40083504,-29.70083427,-30.00083351,-30.30083275,-30.60083199,-30.90083122,-31.20083046,-31.50082970,-31.80082893,-32.10083008,-32.40082932,-32.70082855,-33.00082779,-33.30082703,-33.60082626,-33.90082550,-34.20082474,-34.50082397,-34.80082321,-35.10082245,-35.40082169,-35.70082092,-36.00082016,-36.30081940,-36.60081863,-36.90081787,-37.20081711,-37.50081635,-37.80081558
-0.46742800,-0.42838874,-0.61362398,-0.85243964,-0.67026204,-0.85662359,-1.15662360,-1.45662355,-1.75662351,-2.05662346,-2.35662341,-2.65662336,-2.94654894,-3.24654889,-3.54654884,-3.84654880,-4.12139797,-4.10152340,-4.37043953,-4.67043972,-4.97043991,-5.27044010,-5.57044029,-5.87044048,-6.17044067,-6.47044086,-6.77044106,-7.07044125,-7.37044144,-7.67044163,-7.90501022,-8.20501041,-8.47726536,-8.77726555,-9.07726574,-9.30498314,-9.60498333,-9.90498352,-10.20498371,-10.50498390,-10.80498409,-11.10498428,-11.39113235,-11.58345032,-11.88345051,-12.18345070,-12.48345089,-12.78345108,-13.08345127,-13.38345146,-13.68345165,-13.90205193,-14.16164207,-14.46164227,-14.76164246,-15.06164265,-15.18211746,-15.48211765,-15.78211784,-16.08211708,-16.38211632,-16.68211555,-16.98211479,-17.28211403,-17.58211327,-17.88211250,-18.18211174,-18.48211098,-18.78211021,-19.08210945,-19.38210869,-19.68210793,-19.98210716,-20.28210640,-20.58210564,-20.88210487,-21.18210411,-21.48210335,-21.78210258,-22.08210182,-22.38210106,-22.68210030,-22.98209953,-23.28209877,-23.58209801,-23.88209724,-24.18209648,-24.48209572,-24.78209496,-25.08209419,-25.38209343,-25.68209267,-25.98209190,-26.28209114,-26.58209038,-26.88208961,-27.18208885,-27.48208809,-27.78208733,-28.08208656,-28.38208580,-28.68208504,-28.98208427,-29.28208351,-29.58208275,-29.88208199,-30.18208122,-30.48208046,-30.78207970,-31.08207893,-31.38207817,-31.68207741,-31.98207664,-32.28207779,-32.58207703,-32.88207626,-33.18207550,-33.48207474,-33.78207397,-34.08207321,-34.38207245,-34.68207169,-34.98207092,-35.28207016,-35.58206940,-35.88206863,-36.18206787,-36.48206711,-36.78206635,-37.08206558
-0.64577156,-0.39490697,-0.58270735,-0.34367394,-0.64367396,-0.43016383,-0.73016381,-1.03016376,-1.33016372,-1.63016367,-1.93016362,-2.23016357,-2.53016353,-2.83016348,-3.13016343,-3.43016338,-3.73016334,-4.03016329,-3.97636819,-4.27380514,-4.57380533,-4.63116503,-4.93116522,-5.23116541,-5.53116560,-5.83116579,-6.13116598,-6.43116617,-6.73116636,-7.03116655,-7.20026875,-7.50026894,-7.80026913,-8.10026932,-8.40026951,-8.70026970,-9.00026989,-9.30027008,-9.60027027,-9.90027046,-10.20027065,-10.50027084,-10.80027103,-11.10027122,-11.29960442,-11.59960461,-11.89960480,-12.19960499,-12.49960518,-12.79960537,-13.09960556,-13.39960575,-13.69960594,-13.99960613,-14.29960632,-14.59960651,-14.89960670,-15.19960690,-15.49960709,-15.66980076,-15.96980095,-16.26980019,-16.56979942,-16.86979866,-17.15726662,-17.45726585,-17.75726509,-18.05726433,-18.35726357,-18.65726280,-18.95726204,-19.25726128,-19.55726051,-19.85725975,-20.15725899,-20.45725822,-20.75725746,-20.90159035,-21.20158958,-21.50158882,-21.80158806,-22.10158730,-22.40158653,-22.70158577,-23.00158501,-23.30158424,-23.60158348,-23.90158272,-24.20158195,-24.50158119,-24.80158043,-25.10157967,-25.40157890,-25.70157814,-26.00157738,-26.30157661,-26.60157585,-26.83001137,-27.13001060,-27.43000984,-27.73000908,-28.03000832,-28.33000755,-28.63000679,-28.93000603,-29.23000526,-29.53000450,-29.83000374,-30.13000298,-30.43000221,-30.73000145,-31.03000069,-31.32999992,-31.62999916,-31.92999840,-32.22999954,-32.52999878,-32.78254318,-33.08254242,-33.38254166,-33.68254089,-33.98254013,-34.28253937,-34.58253860,-34.88253784,-35.18253708,-35.48253632,-35.78253555,-36.08253479,-36.38253403
-0.87560159,-0.45058715,-0.26831082,-0.44754407,-0.21870281,-0.49241468,-0.44066146,-0.74066144,-1.02983475,-1.32983470,-1.62983465,-1.92983460,-2.22983456,-2.52983451,-2.79579377,-2.97063494,-3.27063489,-3.57063484,-3.87063479,-4.02889967,-4.26481056,-4.52885675,-4.57566881,-4.87566900,-5.17566919,-5.47566938,-5.77566957,-6.07566977,-6.37566996,-6.65067816,-6.95067835,-7.19962549,-7.49962568,-7.79962587,-7.96959209,-8.26959229,-8.56959248,-8.86959267,-9.16959286,-9.46959305,-9.76959324,-10.06959343,-10.34250259,-10.64250278,-10.94250298,-11.21826744,-11.32072639,-11.62072659,-11.92072678,-12.22072697,-12.52072716,-12.82072735,-13.12072754,-13.42072773,-13.72072792,-14.02072811,-14.15182686,-14.45182705,-14.75182724,-15.05182743,-15.35182762,-15.65182781,-15.95182800,-16.25182724,-16.24620438,-16.54620361,-16.84620285,-17.14620209,-17.44620132,-17.74620056,-18.04619980,-18.34619904,-18.64619827,-18.94619751,-19.24619675,-19.54619598,-19.84619522,-20.14619446,-20.44619370,-20.74619293,-21.04619217,-21.31895065,-21.61894989,-21.91894913,-22.21894836,-22.51894760,-22.81894684,-23.11894608,-23.41894531,-23.71894455,-24.01894379,-24.31894302,-24.61894226,-24.91894150,-25.21894073,-25.51893997,-25.81893921,-26.11893845,-26.41893768,-26.71893692,-27.01893616,-27.31893539,-27.61893463,-27.91893387,-28.21893311,-28.51893234,-28.81893158,-29.11893082,-29.41893005,-29.71892929,-30.01892853,-30.31892776,-30.61892700,-30.91892624,-31.21892548,-31.51892471,-31.81892395,-32.11892319,-32.41892242,-32.71892166,-33.01892090,-33.31892014,-33.61891937,-33.91891861,-34.21891785,-34.51891708,-34.81891632,-35.11891556,-35.41891479,-35.71891403
-1.17560160,-0.75058717,-0.56831080,-0.08767468,-0.38767469,-0.09309375,-0.39309376,-0.47974294,-0.77974296,-1.07974291,-1.37974286,-1.61851799,-1.80611384,-2.10611391,-2.30513668,-2.39942980,-2.69942975,-2.99942970,-3.29942966,-3.59942961,-3.89942956,-4.19942951,-4.49942970,-4.76643944,-5.06643963,-5.01658201,-5.31658220,-5.61658239,-5.91658258,-6.21658278,-6.51658297,-6.81658316,-7.05822659,-7.35822678,-7.45657444,-7.75657463,-8.05657482,-8.35657501,-8.65657520,-8.93228722,-8.76812649,-9.06812668,-9.36812687,-9.66812706,-9.96812725,-10.26812744,-10.56812763,-10.86812782,-11.16812801,-11.46812820,-11.76812840,-12.06812859,-12.36812878,-12.62634563,-12.92634583,-13.22634602,-13.52634621,-13.82634640,-14.12634659,-14.30545139,-14.60545158,-14.90545177,-15.20545197,-15.50545216,-15.80545235,-16.10545158,-16.40545082,-16.70545006,-17.00544930,-17.30544853,-17.60544777,-17.79306793,-18.09306717,-18.39306641,-18.69306564,-18.99306488,-19.29306412,-19.42500114,-19.72500038,-20.02499962,-20.32499886,-20.62499809,-20.92499733,-21.22499657,-21.52499580,-21.82499504,-22.12499428,-22.42499352,-22.72499275,-23.02499199,-23.32499123,-23.62499046,-23.92498970,-24.22498894,-24.52498817,-24.82498741,-25.12498665,-25.42498589,-25.72498512,-26.02498436,-26.32498360,-26.44458389,-26.74458313,-26.95823860,-27.25823784,-27.55823708,-27.85823631,-28.15823555,-28.45823479,-28.75823402,-29.05823326,-29.35823250,-29.65823174,-29.95823097,-30.25823021,-30.55822945,-30.85822868,-31.15822792,-31.45822716,-31.75822639,-32.05822754,-32.35822678,-32.65822601,-32.95822525,-33.25822449,-33.55822372,-33.85822296,-34.15822220,-34.45822144,-34.75822067
-1.47560155,-1.05058718,-0.86248124,-0.37033147,-0.16947463,-0.30327696,-0.08327479,-0.38327479,-0.68327481,-0.92471421,-1.22471416,-1.29115641,-1.42116535,-1.72116530,-2.02116537,-2.10556722,-1.97606182,-2.27606177,-2.57606173,-2.87606168,-3.17606163,-3.47606158,-3.77606153,-4.07606173,-4.37606192,-4.67606211,-4.71500015,-5.01500034,-5.31500053,-5.61500072,-5.91500092,-6.21500111,-6.51500130,-6.81500149,-6.97447968,-7.27447987,-7.57448006,-7.87448025,-8.16198444,-8.31301975,-8.51491070,-8.33602619,-8.63602638,-8.93602657,-9.15524006,-9.45524025,-9.75524044,-10.05524063,-10.35524082,-10.65524101,-10.95524120,-11.25524139,-11.55524158,-11.80516434,-12.10516453,-12.40516472,-12.70516491,-13.00516510,-13.30516529,-13.60516548,-13.90516567,-14.20516586,-14.50516605,-14.80516624,-15.10516644,-15.40516663,-15.70516682,-16.00516701,-16.30516624,-16.60516548,-16.90516472,-17.20516396,-17.42408371,-17.72408295,-18.02408218,-18.32408142,-18.62408066,-18.92407990,-19.22407913,-19.44200325,-19.74200249,-20.04200172,-20.34200096,-20.64200020,-20.86544991,-21.16544914,-21.46544838,-21.76544762,-22.06544685,-22.36544609,-22.66544533,-22.96544456,-23.26544380,-23.56544304,-23.86544228,-24.13886261,-24.43886185,-24.73886108,-25.03886032,-25.33885956,-25.63885880,-25.83259201,-26.13259125,-26.43259048,-26.73258972,-26.91791916,-27.21791840,-27.51791763,-27.81791687,-27.87380219,-28.17380142,-28.47380066,-28.77379990,-29.07379913,-29.37379837,-29.67379761,-29.97379684,-30.27379608,-30.57379532,-30.87379456,-31.17379379,-31.47379303,-31.75835800,-32.05835724,-32.35835648,-32.65835571,-32.95835495,-33.25835419,-33.55835342,-33.85835266
-1.77560151,-1.35058713,-1.09710753,-0.67033148,-0.19093269,-0.02934703,0.02709413,-0.14681681,-0.33540043,-0.63540041,-0.93540043,-1.10644376,-1.17236233,-1.47236228,-1.56639910,-1.70903182,-1.99545264,-2.20147133,-2.15209913,-2.45209908,-2.75209904,-3.05209899,-3.35209894,-3.65209889,-3.95209885,-4.25209904,-4.55209923,-4.72751808,-5.02751827,-4.87952709,-5.17952728,-5.47952747,-5.77952766,-6.07952785,-6.37952805,-6.67952824,-6.97952843,-7.27952862,-7.57952881,-7.87952900,-8.11169338,-8.31470490,-8.18385887,-8.48385906,-8.78385925,-9.08143902,-9.23962402,-9.53962421,-9.83962440,-10.13962460,-10.43962479,-10.73962498,-11.03962517,-11.33962536,-11.63962555,-11.86797237,-12.05263233,-12.35263252,-12.65263271,-12.95263290,-13.25263309,-13.55263329,-13.85263348,-14.15263367,-14.45263386,-14.75263405,-15.05263424,-15.35263443,-15.65263462,-15.95263481,-16.25263405,-16.55263329,-16.85263252,-17.15263176,-17.34167290,-17.64167213,-17.94167137,-18.24167061,-18.54166985,-18.84166908,-19.14166832,-19.44166756,-19.74166679,-20.04166603,-20.34166527,-20.64166451,-20.94166374,-21.24166298,-21.50169563,-21.75316238,-22.05316162,-22.26782227,-22.56782150,-22.86782074,-23.16781998,-23.46781921,-23.76781845,-24.06781769,-24.36781693,-24.66781616,-24.96781540,-25.26781464,-25.56781387,-25.81711769,-26.11711693,-26.41711617,-26.71711540,-27.01711464,-27.31711388,-27.58441925,-27.69960403,-27.99960327,-28.29960251,-28.59960175,-28.89960098,-29.19960022,-29.49959946,-29.79814148,-30.09814072,-30.39813995,-30.69813919,-30.99813843,-31.24305534,-31.54305458,-31.84305382,-32.14305496,-32.44305420,-32.74305344,-33.02276230,-33.32276154
-1.80917501,-1.65058708,-1.22463441,-0.97033149,-0.49093270,-0.19720383,0.55094087,0.25094086,0.03713951,-0.11016569,-0.41016570,-0.71016568,-1.01016569,-1.13413799,-1.43413794,-1.62337732,-1.76391613,-2.06391621,-2.22209477,-2.19171953,-2.49171948,-2.70860958,-3.00860953,-3.22998261,-3.52998257,-3.82998252,-4.12998247,-4.27980423,-4.57980442,-4.27052927,-4.57052946,-4.87052965,-5.17052984,-5.47053003,-5.77053022,-6.07053041,-6.37053061,-6.67053080,-6.97053099,-7.27053118,-7.57053137,-7.87053156,-8.17053127,-8.34900951,-8.64900970,-8.71233559,-9.01233578,-9.31233597,-9.59982014,-9.63286018,-9.93286037,-10.23286057,-10.53286076,-10.83286095,-11.13286114,-11.43286133,-11.73286152,-11.45038414,-11.75038433,-12.05038452,-12.35038471,-12.65038490,-12.95038509,-13.25038528,-13.55038548,-13.85038567,-14.15038586,-14.45038605,-14.75038624,-15.05038643,-15.35038662,-15.65038681,-15.95038700,-16.25038719,-16.55038643,-16.85038567,-17.15038490,-17.45038414,-17.75038338,-18.05038261,-18.35038185,-18.65038109,-18.95038033,-19.25037956,-19.55037880,-19.85037804,-20.15037727,-20.45037651,-20.75037575,-21.05037498,-21.35037422,-21.65037346,-21.95037270,-21.87979507,-22.17979431,-22.47979355,-22.77979279,-23.07979202,-23.37979126,-23.67979050,-23.97978973,-24.27978897,-24.57978821,-24.87978745,-25.17978668,-25.47978592,-25.77978516,-26.07978439,-26.37978363,-26.67978287,-26.97978210,-27.27978134,-27.57978058,-27.87977982,-28.17977905,-28.47977829,-28.77977753,-29.07977676,-29.37977600,-29.67977524,-29.97977448,-30.27977371,-30.57977295,-30.87977219,-31.17977142,-31.47977066,-31.77976990,-32.07976913,-32.37976837,-32.67976761
-2.10917497,-1.58759689,-1.42040956,-0.88639683,-0.79093271,-0.49720383,0.25094086,0.78648126,0.52478278,0.22478278,0.03368589,-0.26631412,-0.56631410,-0.86631411,-1.04751492,-1.18345571,-1.48345566,-1.78345561,-2.05886126,-2.07465172,-2.05462313,-2.20571136,-2.50571132,-2.80571127,-3.10571122,-3.40571117,-3.70571113,-4.00571108,-4.19403315,-4.49403334,-4.09449053,-4.37875223,-4.67875242,-4.97875261,-5.27875280,-5.57875299,-5.87875319,-6.17875338,-6.47875357,-6.77875376,-7.07875395,-7.37875414,-7.67875433,-7.97875452,-8.27875423,-8.57875443,-8.61862278,-8.91862297,-9.21862316,-9.49211216,-9.79211235,-10.09211254,-10.39211273,-10.69211292,-10.93415833,-11.23415852,-11.47372913,-11.75038433,-11.47778606,-11.76156139,-11.98847294,-12.28847313,-12.58691216,-12.88691235,-13.17124462,-13.35872841,-13.65872860,-13.95872879,-14.25872898,-14.55872917,-14.85872936,-15.15872955,-15.45872974,-15.75872993,-16.05872917,-16.35872841,-16.65872765,-16.95872688,-17.25872612,-17.55872536,-17.79394341,-18.09394264,-18.39394188,-18.69394112,-18.99394035,-19.29393959,-19.59393883,-19.89393806,-20.19393730,-20.49393654,-20.67772293,-20.97772217,-21.27772141,-21.57772064,-21.47163582,-21.77163506,-22.07163429,-22.37163353,-22.67163277,-22.97163200,-23.27163124,-23.57163048,-23.87162971,-24.17162895,-24.47162819,-24.77162743,-25.07162666,-25.37162590,-25.67162514,-25.97162437,-26.27162361,-26.57162285,-26.87162209,-27.17162132,-27.47162056,-27.77161980,-28.07161903,-28.37161827,-28.67161751,-28.97161674,-29.21305275,-29.51305199,-29.81305122,-30.11305046,-30.41304970,-30.71304893,-31.01304817,-31.31304741,-31.61304665,-31.91304588
-2.40917492,-1.88759685,-1.72040951,-1.18639684,-0.89069909,-0.67237556,-0.04905914,0.48648125,0.57199121,0.27199119,0.06833576,-0.11837462,-0.15412655,-0.45412657,-0.72472608,-0.79000932,-0.81227279,-1.11227274,-1.41227269,-1.71227264,-2.01227260,-2.22919011,-2.34860969,-2.64860964,-2.94860959,-3.03542519,-3.25117159,-3.55117154,-3.85117149,-4.15117168,-4.39449072,-4.33844519,-4.18576622,-4.48576641,-4.61935282,-4.91935301,-5.21935320,-5.51935339,-5.81935358,-6.06192064,-6.07715511,-6.37715530,-6.67715549,-6.97715569,-7.27715588,-7.57715607,-7.87715626,-8.17715645,-8.47715664,-8.77715683,-8.91176701,-9.21176720,-9.51176739,-9.77967834,-10.07967854,-10.37899780,-10.67899799,-10.97899818,-11.26481724,-11.08965111,-11.38965130,-11.54286003,-11.84286022,-12.14286041,-12.44286060,-12.74286079,-13.04286098,-13.34286118,-13.64286137,-13.94286156,-14.24286175,-14.54286194,-14.84286213,-15.14286232,-15.44286251,-15.74286270,-16.04286194,-16.20765114,-16.50765038,-16.80764961,-17.10764885,-17.40764809,-17.70764732,-18.00764656,-18.22469711,-18.52469635,-18.82469559,-19.12469482,-19.42469406,-19.72469330,-20.02469254,-20.32469177,-20.62469101,-20.92469025,-21.22468948,-21.08329201,-21.38329124,-21.68329048,-21.98328972,-22.28328896,-22.58328819,-22.66696167,-22.96696091,-23.26696014,-23.56695938,-23.86695862,-24.16695786,-24.46695709,-24.76695633,-25.05080414,-25.35080338,-25.62964821,-25.92964745,-26.22964668,-26.52964592,-26.82964516,-27.12964439,-27.42964363,-27.72964287,-28.02964211,-28.32964134,-28.62964058,-28.87188721,-29.17188644,-29.47188568,-29.77188492,-30.07188416,-30.37188339,-30.67188263,-30.97188187
